service_id,cargo_type,n_boxes,n_first_batch,mass_kg,volume_m3,priority,first_batch_deadline_s,expected_time_s
S001,医疗物资,2,1,3,0.012,24,3600.0,3600
S001,饮用水,8,1,14,0.027,12,3600.0,3600
S001,应急食品,3,0,8,0.028,10,,7200
S001,生活卫生用品,2,0,6,0.035,8,,10800
S002,医疗物资,1,1,3,0.012,24,3600.0,3600
S002,饮用水,4,1,14,0.027,12,3600.0,3600
S002,应急食品,2,0,8,0.028,10,,7200
S002,生活卫生用品,1,0,6,0.035,8,,10800
S003,医疗物资,1,1,3,0.012,20,7200.0,7200
S003,饮用水,4,1,14,0.027,10,7200.0,7200
S003,应急食品,2,0,8,0.028,8,,10800
S003,生活卫生用品,1,0,6,0.035,6,,14400
S004,医疗物资,1,1,3,0.012,20,7200.0,7200
S004,饮用水,3,1,14,0.027,10,7200.0,7200
S004,应急食品,1,0,8,0.028,8,,10800
S004,生活卫生用品,1,0,6,0.035,6,,14400
S005,医疗物资,1,1,3,0.012,16,10800.0,10800
S005,饮用水,3,1,14,0.027,8,10800.0,10800
S005,应急食品,1,0,8,0.028,6,,14400
S005,生活卫生用品,1,0,6,0.035,4,,18000
S006,医疗物资,1,1,3,0.012,24,3600.0,3600
S006,饮用水,3,1,14,0.027,12,3600.0,3600
S006,应急食品,1,0,8,0.028,10,,7200
S006,生活卫生用品,1,0,6,0.035,8,,10800
S007,医疗物资,1,1,3,0.012,24,3600.0,3600
S007,饮用水,2,1,14,0.027,12,3600.0,3600
S007,应急食品,1,0,8,0.028,10,,7200
S007,生活卫生用品,1,0,6,0.035,8,,10800
S008,医疗物资,1,1,3,0.012,20,7200.0,7200
S008,饮用水,2,1,14,0.027,10,7200.0,7200
S008,应急食品,1,0,8,0.028,8,,10800
S008,生活卫生用品,1,0,6,0.035,6,,14400
S009,医疗物资,1,1,3,0.012,16,10800.0,10800
S009,饮用水,1,1,14,0.027,8,10800.0,10800
S009,应急食品,1,0,8,0.028,6,,14400
S010,医疗物资,1,1,3,0.012,24,3600.0,3600
S010,饮用水,1,1,14,0.027,12,3600.0,3600
S010,应急食品,1,0,8,0.028,10,,7200
S011,医疗物资,1,1,3,0.012,16,10800.0,10800
S011,饮用水,1,1,14,0.027,8,10800.0,10800
S011,应急食品,1,0,8,0.028,6,,14400
S012,医疗物资,1,1,3,0.012,22,3600.0,7200
S012,饮用水,1,1,14,0.027,12,3600.0,3600
S012,应急食品,1,0,8,0.028,10,,7200
S013,医疗物资,1,1,3,0.012,24,3600.0,3600
S013,饮用水,1,1,14,0.027,12,3600.0,3600
S013,应急食品,1,0,8,0.028,10,,7200
S014,医疗物资,1,1,3,0.012,22,3600.0,7200
S014,饮用水,1,1,14,0.027,12,3600.0,3600
S014,应急食品,1,0,8,0.028,10,,7200
S015,医疗物资,1,1,3,0.012,18,7200.0,7200
S015,饮用水,1,1,14,0.027,8,10800.0,10800
S015,应急食品,1,0,8,0.028,6,,14400
