sid,type,uav,bat,t0,t1,n_box,kwh,budget,soc,t_end_recomp,dt
T001,C,U07,C-B01,0.0,1490.7,6,2.2799947161435647,6.4,0.7150006604820545,1490.6865367215864,0.013463278413610169
T002,C,U08,C-B02,0.0,1358.7,4,2.3080653476538258,6.4,0.7114918315432718,1358.6865367215864,0.013463278413610169
T003,C,U08,C-B03,1358.7,3051.2,2,3.0317753232654794,6.4,0.621028084591815,3051.2357151495407,0.03571514954091981
T004,C,U07,C-B04,1490.7,3515.3,3,3.7342067519731295,6.4,0.5332241560033588,3515.3617433370237,0.06174333702347212
T005,C,U08,C-B01,3051.2,5972.6,5,5.425232291900914,6.4,0.3218459635123857,5972.559332290995,0.0406677090049925
T006,C,U07,C-B02,3515.3,6136.3,4,6.307286837745891,6.4,0.21158914528176365,6136.284825689855,0.015174310145084746
T007,C,U08,C-B03,5972.6,8540.3,6,6.370843211052384,6.4,0.20364459861845197,8540.29111319474,0.008886805258953245
T008,C,U07,C-B04,6136.3,9508.2,8,6.315171947464474,6.4,0.2106035065669407,9508.136767123426,0.06323287657505716
T009,C,U08,C-B01,8540.3,11081.8,5,4.882135969228387,6.4,0.3897330038464516,11081.790582573462,0.009417426537766005
T010,C,U07,C-B02,9508.2,12071.9,5,6.3196484420681625,6.4,0.2100439447414797,12071.91235845012,0.012358450119791087
T011,C,U08,C-B03,11099.0,14078.3,6,6.37269616027882,6.4,0.2034129799651475,14078.304540374369,0.004540374369753408
T012,C,U07,C-B04,12071.9,14435.0,6,6.021987077286837,6.4,0.24725161533914541,14435.049281335867,0.049281335866908194
T013,C,U08,C-B01,14078.3,16380.8,3,5.081642838582848,6.4,0.364794645177144,16380.771414467708,0.028585532290890114
T014,C,U07,C-B02,14616.8,17888.9,7,6.3957406425578025,6.4,0.2005324196802747,17888.916415467855,0.016415467853221344
T015,C,U08,C-B03,16637.6,18934.8,5,5.120557847493044,6.4,0.35993026906336945,18934.749281335866,0.050718664133455604
T016,C,U07,C-B04,17888.9,20610.4,5,5.376399787871555,6.4,0.32795002651605565,20610.366278588797,0.03372141120416927
