架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
S001-01,S001,C,S001-HYG-01|S001-HYG-02|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-WAT-01|S001-WAT-02|S001-WAT-03,78.0,0.235,1622.7,2.99408,62.57
S001-02,S001,C,S001-WAT-04|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-MED-01|S001-MED-02,76.0,0.159,1556.7,2.91591,63.55
S002-01,S002,C,S002-HYG-01|S002-FOD-01|S002-FOD-02|S002-WAT-01|S002-WAT-02|S002-WAT-03|S002-MED-01,67.0,0.184,2170.4,6.27928,21.51
S002-02,S002,C,S002-WAT-04,14.0,0.027,1774.4,4.73446,40.82
S003-01,S003,C,S003-HYG-01|S003-FOD-01|S003-FOD-02|S003-WAT-01|S003-WAT-02|S003-WAT-03|S003-MED-01,67.0,0.184,2487.3,6.317,21.04
S003-02,S003,C,S003-WAT-04,14.0,0.027,2091.3,4.75303,40.59
S004-01,S004,C,S004-HYG-01|S004-FOD-01|S004-WAT-01|S004-WAT-02|S004-WAT-03|S004-MED-01,59.0,0.156,2301.5,6.15306,23.09
S005-01,S005,C,S005-HYG-01|S005-FOD-01|S005-WAT-01|S005-WAT-02|S005-WAT-03|S005-MED-01,59.0,0.156,1875.3,4.22136,47.23
S006-01,S006,C,S006-HYG-01|S006-FOD-01|S006-WAT-01|S006-WAT-02|S006-WAT-03|S006-MED-01,59.0,0.156,1558.6,2.59617,67.55
S007-01,S007,C,S007-HYG-01|S007-FOD-01|S007-WAT-01|S007-WAT-02|S007-MED-01,45.0,0.129,1890.5,3.40386,57.45
S008-01,S008,C,S008-HYG-01|S008-FOD-01|S008-WAT-01|S008-WAT-02|S008-MED-01,45.0,0.129,2189.4,5.83198,27.1
S009-01,S009,C,S009-FOD-01|S009-WAT-01|S009-MED-01,25.0,0.067,1643.2,3.76879,52.89
S010-01,S010,C,S010-FOD-01|S010-WAT-01|S010-MED-01,25.0,0.067,1663.3,3.22756,59.66
S011-01,S011,C,S011-FOD-01|S011-WAT-01|S011-MED-01,25.0,0.067,1274.2,1.89854,76.27
S012-01,S012,C,S012-FOD-01|S012-WAT-01|S012-MED-01,25.0,0.067,2040.7,4.92184,38.48
S013-01,S013,C,S013-FOD-01|S013-WAT-01|S013-MED-01,25.0,0.067,1604.7,3.24637,59.42
S014-01,S014,C,S014-FOD-01|S014-WAT-01|S014-MED-01,25.0,0.067,2024.7,3.73421,53.32
S015-01,S015,C,S015-FOD-01|S015-WAT-01|S015-MED-01,25.0,0.067,1960.6,4.07309,49.09
