货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T001,S001,916.3
S001-FOD-02,T001,S001,916.3
S001-FOD-03,T025,S001,23171.4
S001-HYG-01,T016,S001,13013.3
S001-HYG-02,T010,S001,6300.4
S001-MED-01,T025,S001,23171.4
S001-MED-02,T001,S001,916.3
S001-WAT-01,T024,S001,21639.6
S001-WAT-02,T002,S001,856.3
S001-WAT-03,T002,S001,856.3
S001-WAT-04,T003,S001,2002.5
S001-WAT-05,T003,S001,2002.5
S001-WAT-06,T004,S001,2062.5
S001-WAT-07,T004,S001,2062.5
S001-WAT-08,T020,S001,17281.5
S002-FOD-01,T025,S002,23718.3
S002-FOD-02,T024,S002,22186.4
S002-HYG-01,T015,S002,13541.2
S002-MED-01,T028,S002,26459.3
S002-WAT-01,T035,S002,33820.9
S002-WAT-02,T020,S002,17828.4
S002-WAT-03,T021,S002,19445.6
S002-WAT-04,T021,S002,19445.6
S003-FOD-01,T023,S003,21558.9
S003-FOD-02,T023,S003,21558.9
S003-HYG-01,T014,S003,11460.8
S003-MED-01,T023,S003,21558.9
S003-WAT-01,T030,S003,28520.6
S003-WAT-02,T019,S003,17560.4
S003-WAT-03,T019,S003,17560.4
S003-WAT-04,T017,S003,15729.0
S004-FOD-01,T022,S004,19696.0
S004-HYG-01,T013,S004,10534.1
S004-MED-01,T022,S004,19696.0
S004-WAT-01,T029,S004,28101.5
S004-WAT-02,T018,S004,15598.9
S004-WAT-03,T018,S004,15598.9
S005-FOD-01,T014,S005,10635.1
S005-HYG-01,T011,S005,8085.6
S005-MED-01,T029,S005,27637.1
S005-WAT-01,T012,S005,8693.3
S005-WAT-02,T007,S005,4597.5
S005-WAT-03,T007,S005,4597.5
S006-FOD-01,T005,S006,3273.4
S006-HYG-01,T017,S006,14987.4
S006-MED-01,T005,S006,3273.4
S006-WAT-01,T005,S006,3273.4
S006-WAT-02,T006,S006,3233.7
S006-WAT-03,T006,S006,3233.7
S007-FOD-01,T030,S007,28113.1
S007-HYG-01,T015,S007,12680.3
S007-MED-01,T027,S007,26123.5
S007-WAT-01,T026,S007,23886.1
S007-WAT-02,T026,S007,23886.1
S008-FOD-01,T022,S008,20146.8
S008-HYG-01,T013,S008,10984.9
S008-MED-01,T034,S008,32984.7
S008-WAT-01,T034,S008,32984.7
S008-WAT-02,T016,S008,13689.7
S009-FOD-01,T008,S009,5007.0
S009-MED-01,T008,S009,5007.0
S009-WAT-01,T012,S009,9157.9
S010-FOD-01,T027,S010,25306.3
S010-MED-01,T031,S010,29803.9
S010-WAT-01,T031,S010,29803.9
S011-FOD-01,T008,S011,4441.8
S011-MED-01,T034,S011,32298.6
S011-WAT-01,T009,S011,5886.8
S012-FOD-01,T028,S012,25958.8
S012-MED-01,T035,S012,34317.3
S012-WAT-01,T033,S012,32010.5
S013-FOD-01,T028,S013,25496.9
S013-MED-01,T035,S013,34774.5
S013-WAT-01,T033,S013,31548.6
S014-FOD-01,T010,S014,7060.3
S014-MED-01,T032,S014,30716.0
S014-WAT-01,T032,S014,30716.0
S015-FOD-01,T011,S015,8713.2
S015-MED-01,T030,S015,28929.6
S015-WAT-01,T009,S015,6467.2
