中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
RT01,R01,R-P01,0.0,109.215383,23.028329,562.1,452.7,1653.5,1917.0,0.5044
RT02,R02,R-P02,0.0,109.262217,23.017493,572.1,500.5,2115.1,2427.7,0.6602
RT03,R01,R-P03,1917.0,109.215383,23.028329,562.1,2369.7,2369.7,2633.1,0.1374
RT04,R02,R-P04,2427.7,109.242702,23.006658,504.3,2764.0,2764.0,2905.0,0.0682
RT05,R01,R-P05,2633.1,109.230994,23.010269,395.2,2873.0,2873.0,2908.6,0.0143
RT06,R02,R-P06,2905.0,109.262217,23.017493,572.1,3405.5,3405.5,3718.1,0.1669
RT07,R01,R-P01,2908.6,109.219286,23.035553,494.8,3375.1,3375.1,3645.5,0.152
RT08,R01,R-P03,3645.5,109.219286,23.035553,494.8,4112.0,4112.0,4382.4,0.152
RT09,R02,R-P05,3718.1,109.242702,23.006658,504.3,4054.4,4054.4,4195.4,0.0682
RT10,R02,R-P04,4195.4,109.266119,23.010269,559.0,4720.8,4720.8,5060.9,0.1805
RT11,R01,R-P02,4382.4,109.230994,23.010269,395.2,4622.3,4622.3,4657.9,0.0143
RT12,R01,R-P01,4657.9,109.203674,23.039165,705.6,5255.1,5255.1,5673.9,0.2206
RT13,R02,R-P06,5060.9,109.207577,23.021105,541.6,5511.1,5511.1,5769.9,0.1376
RT14,R01,R-P05,5673.9,109.219286,23.017493,511.8,6040.1,6040.1,6214.1,0.0848
RT15,R02,R-P03,5769.9,109.234897,23.060836,552.3,6427.9,6427.9,6896.1,0.269
RT16,R01,R-P02,6214.1,109.234897,23.060836,552.3,6872.0,6872.0,7340.2,0.269
RT17,R02,R-P04,6896.1,109.203674,23.039165,705.6,7493.3,7493.3,7912.1,0.2206
RT18,R01,R-P06,7340.2,109.219286,23.035553,494.8,7806.7,7806.7,8077.1,0.152
RT19,R02,R-P01,7912.1,109.203674,23.021105,614.0,8401.6,8401.6,8705.0,0.1582
RT20,R01,R-P05,8077.1,109.203674,23.039165,705.6,8674.4,8674.4,9093.1,0.2206
RT21,R02,R-P03,8705.0,109.219286,23.006658,460.5,9033.2,9033.2,9164.1,0.0648
RT22,R01,R-P02,9093.1,109.234897,23.060836,552.3,9751.1,9751.1,10219.3,0.269
RT23,R02,R-P04,9164.1,109.2388,23.006658,440.6,9462.5,9462.5,9561.7,0.0473
RT24,R02,R-P06,9561.7,109.219286,23.017493,511.8,9928.0,9928.0,10101.9,0.0848
