货箱编号,服务区,架次,首批保障,首批截止（s）,期望送达（s）,实际交付（s）,首批达标,期望达标
S001-HYG-01,S001,T001,否,,10800.0,1180.5,—,是
S001-WAT-04,S001,T001,否,,3600.0,1180.5,—,是
S001-WAT-05,S001,T001,否,,3600.0,1180.5,—,是
S001-MED-01,S001,T001,是,3600.0,3600.0,1180.5,是,是
S001-FOD-02,S001,T001,否,,7200.0,1180.5,—,是
S001-MED-02,S001,T001,否,,3600.0,1180.5,—,是
S001-WAT-06,S001,T002,否,,3600.0,1048.5,—,是
S001-WAT-07,S001,T002,否,,3600.0,1048.5,—,是
S001-WAT-08,S001,T002,否,,3600.0,1048.5,—,是
S001-FOD-01,S001,T002,否,,7200.0,1048.5,—,是
S007-MED-01,S007,T003,是,3600.0,3600.0,2499.9,是,是
S007-WAT-01,S007,T003,是,3600.0,3600.0,2499.9,是,是
S014-FOD-01,S014,T004,否,,7200.0,2830.9,—,是
S014-WAT-01,S014,T004,是,3600.0,3600.0,2830.9,是,是
S014-MED-01,S014,T004,是,3600.0,7200.0,2830.9,是,是
S011-WAT-01,S011,T005,是,10800.0,10800.0,4011.1,是,是
S015-FOD-01,S015,T005,否,,14400.0,4735.7,—,是
S015-MED-01,S015,T005,是,7200.0,7200.0,4735.7,是,是
S015-WAT-01,S015,T005,是,10800.0,10800.0,4735.7,是,是
S005-HYG-01,S005,T005,否,,18000.0,5469.6,—,是
S004-MED-01,S004,T006,是,7200.0,7200.0,4895.1,是,是
S004-WAT-01,S004,T006,是,7200.0,7200.0,4895.1,是,是
S008-MED-01,S008,T006,是,7200.0,7200.0,5439.5,是,是
S008-WAT-01,S008,T006,是,7200.0,7200.0,5439.5,是,是
S005-WAT-02,S005,T007,否,,10800.0,7236.9,—,是
S005-WAT-03,S005,T007,否,,10800.0,7236.9,—,是
S005-FOD-01,S005,T007,否,,14400.0,7236.9,—,是
S008-WAT-02,S008,T007,否,,7200.0,7843.4,—,否
S008-FOD-01,S008,T007,否,,10800.0,7843.4,—,是
S008-HYG-01,S008,T007,否,,14400.0,7843.4,—,是
S011-FOD-01,S011,T008,否,,14400.0,7222.2,—,是
S011-MED-01,S011,T008,是,10800.0,10800.0,7222.2,是,是
S007-HYG-01,S007,T008,否,,10800.0,7760.9,—,是
S003-WAT-04,S003,T008,否,,7200.0,8322.8,—,否
S003-FOD-01,S003,T008,否,,10800.0,8322.8,—,是
S003-FOD-02,S003,T008,否,,10800.0,8322.8,—,是
S003-HYG-01,S003,T008,否,,14400.0,8322.8,—,是
S006-HYG-01,S006,T008,否,,10800.0,9157.5,—,是
S001-WAT-03,S001,T009,否,,3600.0,9510.8,—,否
S009-WAT-01,S009,T009,是,10800.0,10800.0,10014.4,是,是
S009-MED-01,S009,T009,是,10800.0,10800.0,10014.4,是,是
S005-MED-01,S005,T009,是,10800.0,10800.0,10578.8,是,是
S005-WAT-01,S005,T009,是,10800.0,10800.0,10578.8,是,是
S004-WAT-02,S004,T010,否,,7200.0,10989.9,—,否
S004-WAT-03,S004,T010,否,,7200.0,10989.9,—,否
S004-FOD-01,S004,T010,否,,10800.0,10989.9,—,否
S004-HYG-01,S004,T010,否,,14400.0,10989.9,—,是
S002-HYG-01,S002,T010,否,,10800.0,11453.1,—,否
S006-WAT-03,S006,T011,否,,3600.0,12163.0,—,否
S006-FOD-01,S006,T011,否,,7200.0,12163.0,—,否
S007-WAT-02,S007,T011,否,,3600.0,12805.3,—,否
S007-FOD-01,S007,T011,否,,7200.0,12805.3,—,否
S003-WAT-02,S003,T011,否,,7200.0,13295.2,—,否
S003-WAT-03,S003,T011,否,,7200.0,13295.2,—,否
S001-FOD-03,S001,T012,否,,7200.0,13072.4,—,否
S002-WAT-02,S002,T012,否,,3600.0,13816.3,—,否
S002-WAT-03,S002,T012,否,,3600.0,13816.3,—,否
S002-WAT-04,S002,T012,否,,3600.0,13816.3,—,否
S002-FOD-01,S002,T012,否,,7200.0,13816.3,—,否
S002-FOD-02,S002,T012,否,,7200.0,13816.3,—,否
S013-WAT-01,S013,T013,是,3600.0,3600.0,15136.5,否,否
S012-WAT-01,S012,T013,是,3600.0,3600.0,15691.9,否,否
S012-MED-01,S012,T013,是,3600.0,7200.0,15691.9,否,否
S010-FOD-01,S010,T014,否,,7200.0,15896.3,—,否
S010-MED-01,S010,T014,是,3600.0,3600.0,15896.3,否,否
S010-WAT-01,S010,T014,是,3600.0,3600.0,15896.3,否,否
S013-FOD-01,S013,T014,否,,7200.0,16372.8,—,否
S013-MED-01,S013,T014,是,3600.0,3600.0,16372.8,否,否
S012-FOD-01,S012,T014,否,,7200.0,16892.1,—,否
S009-FOD-01,S009,T014,否,,14400.0,17401.2,—,否
S001-WAT-01,S001,T015,是,3600.0,3600.0,17680.1,否,否
S001-HYG-02,S001,T015,否,,10800.0,17680.1,—,否
S001-WAT-02,S001,T015,否,,3600.0,17680.1,—,否
S002-WAT-01,S002,T015,是,3600.0,3600.0,18316.0,否,否
S002-MED-01,S002,T015,是,3600.0,3600.0,18316.0,否,否
S006-WAT-01,S006,T016,是,3600.0,3600.0,18958.9,否,否
S006-WAT-02,S006,T016,否,,3600.0,18958.9,—,否
S006-MED-01,S006,T016,是,3600.0,3600.0,18958.9,否,否
S003-MED-01,S003,T016,是,7200.0,7200.0,19827.2,否,否
S003-WAT-01,S003,T016,是,7200.0,7200.0,19827.2,否,否
