电池编号,机型,架次,占用开始（s）,占用结束（s）,返航SOC（%）
B-B01,B,T001,0.0,1206.3,73.51
B-B02,B,T002,0.0,1146.3,69.52
B-B03,B,T003,1146.3,2292.5,69.52
B-B04,B,T004,1206.3,2352.5,69.52
B-B01,B,T005,2332.2,3597.0,69.42
B-B02,B,T006,2352.5,3557.4,67.69
B-B03,B,T007,3557.4,5072.0,47.86
B-B04,B,T008,3597.0,5474.1,47.34
B-B01,B,T009,5072.0,7075.5,43.04
B-B02,B,T010,5474.1,7683.3,42.95
B-B03,B,T011,7075.5,9321.5,37.48
B-B04,B,T012,7683.3,9625.0,34.56
B-B01,B,T013,9321.5,11651.4,26.94
B-B02,B,T014,9625.0,12187.1,23.3
B-B03,B,T015,11651.4,14136.2,21.14
B-B04,B,T016,12187.1,14356.2,29.13
B-B01,B,T017,14136.2,16455.2,33.58
B-B02,B,T018,14356.2,16278.3,24.11
B-B03,B,T019,16278.3,18286.7,26.72
B-B04,B,T020,16455.2,18423.4,35.0
B-B01,B,T021,18286.7,20040.6,28.28
B-B02,B,T022,18423.4,20813.3,22.27
B-B04,B,T023,20216.8,22285.2,36.27
B-B03,B,T024,20813.3,22781.4,39.49
B-B01,B,T025,22285.2,24313.3,40.54
B-B02,B,T026,22827.2,24389.6,53.17
B-B04,B,T027,24313.3,26627.0,30.1
B-B03,B,T028,24497.0,27054.3,24.97
B-B01,B,T029,26627.0,28780.8,34.74
B-B02,B,T030,27054.3,29537.9,27.93
B-B04,B,T031,28780.8,30271.8,59.14
B-B03,B,T032,29537.9,31339.0,51.97
B-B01,B,T033,30578.7,32662.0,29.76
B-B02,B,T034,31453.8,33651.2,31.33
B-B04,B,T035,32662.0,35219.3,22.45
