货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-WAT-08,T001,S001,1066.5
S001-FOD-01,T001,S001,1066.5
S009-FOD-01,T001,S009,1534.2
S002-WAT-01,T001,S002,2065.0
S002-WAT-02,T001,S002,2065.0
S002-MED-01,T001,S002,2065.0
S002-HYG-01,T001,S002,2065.0
S001-WAT-06,T002,S001,1042.5
S001-WAT-07,T002,S001,1042.5
S001-WAT-02,T002,S001,1042.5
S002-WAT-03,T002,S002,1678.4
S002-WAT-04,T002,S002,1678.4
S013-WAT-01,T003,S013,999.9
S012-FOD-01,T003,S012,1491.8
S012-MED-01,T003,S012,1491.8
S001-HYG-01,T004,S001,826.3
S012-WAT-01,T004,S012,1463.6
S007-MED-01,T005,S007,1134.4
S007-WAT-01,T005,S007,1134.4
S010-FOD-01,T006,S010,1102.8
S010-MED-01,T006,S010,1102.8
S013-FOD-01,T007,S013,1080.7
S013-MED-01,T007,S013,1080.7
S007-WAT-02,T008,S007,1074.4
S010-WAT-01,T009,S010,2649.2
S001-MED-01,T010,S001,2617.6
S001-WAT-01,T010,S001,2617.6
S001-MED-02,T010,S001,2617.6
S014-MED-01,T011,S014,3353.2
S014-WAT-01,T011,S014,3353.2
S014-FOD-01,T011,S014,3353.2
S006-WAT-02,T012,S006,3024.5
S006-WAT-03,T012,S006,3024.5
S001-WAT-03,T013,S001,3405.7
S001-WAT-04,T013,S001,3405.7
S001-WAT-05,T013,S001,3405.7
S001-HYG-02,T013,S001,3405.7
S009-MED-01,T013,S009,3909.3
S009-WAT-01,T013,S009,3909.3
S006-MED-01,T014,S006,3587.6
S006-WAT-01,T014,S006,3587.6
S011-FOD-01,T015,S011,3715.6
S011-WAT-01,T015,S011,3715.6
S011-MED-01,T015,S011,3715.6
S015-FOD-01,T015,S015,4368.3
S007-FOD-01,T015,S007,4818.9
S005-FOD-01,T016,S005,3790.9
S008-WAT-01,T016,S008,4319.2
S003-MED-01,T017,S003,4361.7
S003-WAT-01,T017,S003,4361.7
S004-MED-01,T018,S004,4568.1
S004-WAT-01,T018,S004,4568.1
S004-WAT-02,T019,S004,5131.8
S004-WAT-03,T019,S004,5131.8
S008-HYG-01,T020,S008,5326.0
S008-MED-01,T020,S008,5326.0
S002-FOD-01,T021,S002,5135.0
S002-FOD-02,T021,S002,5135.0
S006-HYG-01,T022,S006,5745.3
S006-FOD-01,T022,S006,5745.3
S003-WAT-03,T022,S003,6685.6
S003-WAT-04,T022,S003,6685.6
S003-HYG-01,T022,S003,6685.6
S003-WAT-02,T022,S003,6685.6
S007-HYG-01,T022,S007,7138.5
S008-WAT-02,T023,S008,6482.0
S008-FOD-01,T023,S008,6482.0
S015-MED-01,T024,S015,6464.3
S015-WAT-01,T024,S015,6464.3
S005-WAT-02,T025,S005,6604.4
S005-WAT-03,T025,S005,6604.4
S005-HYG-01,T025,S005,6604.4
S004-FOD-01,T025,S004,7165.6
S004-HYG-01,T025,S004,7165.6
S001-FOD-03,T026,S001,6586.3
S001-FOD-02,T026,S001,6586.3
S005-MED-01,T027,S005,6851.2
S005-WAT-01,T027,S005,6851.2
S003-FOD-01,T028,S003,7972.2
S003-FOD-02,T028,S003,7972.2
