运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T007,全程,298.4,5072.0,中继,RT01
T008,全程,239.9,5474.1,中继,RT02
T009,全程,5499.5,7075.5,中继,RT03
T010,全程,6035.1,7683.3,中继,RT04
T011,全程,7703.8,9321.5,中继,RT05
T012,全程,8321.8,9625.0,中继,RT06
T013,全程,10304.1,11651.4,中继,RT07
T014,全程,10239.1,12187.1,中继,RT08
T015,全程,12601.8,14136.2,中继,RT09
T016,全程,13117.1,14356.2,中继,RT10
T017,全程,14895.2,16455.2,中继,RT11
T018,全程,15432.9,16278.3,中继,RT12
T019,全程,17112.7,18286.7,中继,RT13
T020,全程,17227.4,18423.4,中继,RT14
T021,全程,18927.1,20040.6,中继,RT15
T022,全程,19365.3,20813.3,中继,RT16
T023,全程,20677.3,22285.2,中继,RT17
T024,全程,21763.7,22781.4,中继,RT18
T025,全程,22925.6,24313.3,中继,RT19
T026,全程,23504.6,24389.6,中继,RT20
T028,全程,25203.5,27054.3,中继,RT21
T027,全程,25153.0,26212.6,中继,RT22
T027,全程,26855.6,26855.6,中继,RT23
T029,全程,27654.6,28780.8,中继,RT24
T030,全程,28061.0,29537.9,中继,RT25
T031,全程,29585.3,30271.8,中继,RT26
T032,全程,30463.5,31339.0,中继,RT27
T033,全程,30913.4,32662.0,中继,RT28
T034,全程,32276.3,33651.2,中继,RT29
T035,全程,33594.4,35219.3,中继,RT30
