问题,指标,数值
问题一,n_service_areas,15
问题一,n_boxes,80
问题一,n_uav_types,3
问题一,chosen_strategy,single_C
问题一,chosen_n_sorties,18
问题一,chosen_total_energy_kwh,75.070591
问题一,chosen_serial_total_time_s,33729.471
问题一,lower_bound_total_sorties,18
问题一,n_pareto,2
问题一,n_strategies,8
问题一,rho_sweep_points,21
问题一,runtime_sec,0.76
问题二,n_sorties,14
问题二,n_boxes,80
问题二,total_energy_kwh,77.936806
问题二,makespan_s,18662.2
问题二,makespan_h,5.184
问题二,violations_first_batch,17
问题二,violations_expected,36
问题二,on_time_rate,0.55
问题二,max_lateness_s,14587.6
问题二,objective_penalty,656.265
问题二,runtime_sec,2.75
问题二,iterations,2
问题二,feasible_by_verifier,False
问题二,n_verifier_violations,36
问题三,n_transport_sorties,14
问题三,n_relay_sorties,14
问题三,n_sorties_need_relay,14
问题三,n_sorties_covered,14
问题三,coverage_rate,1.0
问题三,transport_energy_kwh,77.936806
问题三,relay_energy_kwh,9.941324
问题三,total_energy_kwh,87.87813
问题三,joint_makespan_s,18697.7
问题三,joint_makespan_h,5.194
问题三,mean_direct_outage_fraction,0.3681
问题三,n_hover_candidates,1885
问题三,sample_dt_s,2.0
问题三,hover_step_m,400.0
问题三,runtime_sec,307.02
问题三,feasible_by_verifier,False
问题三,n_verifier_violations,36
问题四,n_services,15
问题四,n_transport_sorties_q3,14
问题四,n_multi_stop_sorties,11
问题四,n_atomic_units,2
问题四,n_bridge_sorties,8
问题四,partition_feasible_k2,True
问题四,partition_feasible_k3,False
问题四,k2_edits_required,0
问题四,k3_edits_required,1
问题四,runtime_sec,0.45
