rho,n_sorties,total_energy_kwh,serial_total_time_s,feasible,n_infeasible_areas,strategy,types
0.0,18,76.079892,33729.471,True,0,nf_as_given,C:18
0.025,18,76.079892,33729.471,True,0,nf_as_given,C:18
0.05,18,76.079892,33729.471,True,0,nf_as_given,C:18
0.075,18,76.079892,33729.471,True,0,nf_as_given,C:18
0.1,18,76.079892,33729.471,True,0,nf_as_given,C:18
0.125,18,75.070591,33729.471,True,0,single_C,C:18
0.15,18,75.070591,33729.471,True,0,single_C,C:18
0.175,18,75.070591,33729.471,True,0,single_C,C:18
0.2,18,75.070591,33729.471,True,0,single_C,C:18
0.225,18,74.793973,33729.471,True,0,single_C,C:18
0.25,19,78.55733,35634.991,True,0,single_C,C:19
0.275,20,83.472828,37494.421,True,0,nf_as_given,C:20
0.3,20,83.196931,37494.421,True,0,nf_as_given,C:20
0.325,20,82.956924,37494.421,True,0,single_C,C:20
0.35,25,106.604769,46852.423,True,0,single_C,C:25
0.375,0,0.0,0.0,False,1,—,—
0.4,0,0.0,0.0,False,2,—,—
0.425,0,0.0,0.0,False,5,—,—
0.45,0,0.0,0.0,False,5,—,—
0.475,0,0.0,0.0,False,5,—,—
0.5,0,0.0,0.0,False,5,—,—
