架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,箱数
T001,U07,C,C-B01,0.0,S014,2024.7,3.73421,1
T002,U08,C,C-B02,0.0,S001→S009,2165.9,4.58558,1
T003,U07,C,C-B03,2024.7,S007→S015,4556.5,5.03705,1
T004,U08,C,C-B04,2165.9,S001→S002,4463.0,5.14645,1
T005,U08,C,C-B01,4463.0,S003,6818.3,5.89032,1
T006,U07,C,C-B02,4556.5,S011→S005→S008,7417.6,6.26448,1
T007,U08,C,C-B03,6818.3,S006→S003→S015→S011,10253.9,6.30367,1
T008,U07,C,C-B04,7417.6,S005→S004→S008,10316.3,6.39697,1
T009,U08,C,C-B01,10253.9,S001→S004,12906.1,6.03489,1
T010,U07,C,C-B02,10316.3,S002,12354.7,5.85158,1
T011,U07,C,C-B03,12794.5,S009→S012,15173.0,5.47644,1
T012,U08,C,C-B04,12906.1,S011→S008→S004→S005,16165.3,6.36949,1
T013,U07,C,C-B02,15173.0,S001→S010,17553.0,4.79425,1
T014,U08,C,C-B01,16165.3,S006→S013,18662.2,6.05142,1
