架次编号,机型,服务区,采样点数,直连点数,中继点数,中断点数,直连可达比例,中断占比,需中继,航段长
T008,C,S005->S004->S008,922,407,0,515,0.4414,0.5586,True,3
T011,C,S009->S012,745,372,0,373,0.4993,0.5007,True,2
T012,C,S011->S008->S004->S005,987,512,0,475,0.5187,0.4813,True,4
T010,C,S002,625,349,0,276,0.5584,0.4416,True,1
T005,C,S003,785,459,0,326,0.5847,0.4153,True,1
T004,C,S001->S002,670,394,0,276,0.5881,0.4119,True,2
T006,C,S011->S005->S008,837,493,0,344,0.589,0.411,True,3
T007,C,S006->S003->S015->S011,1009,617,0,392,0.6115,0.3885,True,4
T003,C,S007->S015,722,453,0,269,0.6274,0.3726,True,2
T001,C,S014,684,473,0,211,0.6915,0.3085,True,1
T009,C,S001->S004,782,560,0,222,0.7161,0.2839,True,2
T002,C,S001->S009,539,388,0,151,0.7199,0.2801,True,2
T013,C,S001->S010,613,503,0,110,0.8206,0.1794,True,2
T014,C,S006->S013,705,620,0,85,0.8794,0.1206,True,2
