中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
RT01,R01,R-P01,0.0,109.266119,23.010269,559.0,525.4,2024.7,2364.8,0.6386
RT02,R02,R-P02,0.0,109.230994,23.010269,395.2,239.9,2165.9,2201.4,0.5203
RT03,R02,R-P03,2201.4,109.207577,23.021105,541.6,2651.6,4556.5,4815.4,0.7197
RT04,R01,R-P04,2364.8,109.219286,23.035553,494.8,2831.3,4463.0,4733.5,0.6506
RT05,R01,R-P05,4733.5,109.219286,23.017493,511.8,5099.7,6818.3,6992.2,0.6099
RT06,R02,R-P06,4815.4,109.203674,23.039165,705.6,5412.6,7417.6,7836.4,0.8333
RT07,R01,R-P02,6992.2,109.195869,23.021105,739.9,7566.5,10253.9,10654.0,1.0234
RT08,R02,R-P01,7836.4,109.242702,23.060836,555.5,8507.9,10316.3,10800.2,0.8285
RT09,R01,R-P04,10654.0,109.234897,23.060836,552.3,11312.0,12906.1,13374.3,0.7561
RT10,R02,R-P03,10800.2,109.219286,23.035553,494.8,11266.7,12354.7,12625.1,0.4845
RT11,R02,R-P05,12625.1,109.258314,23.046389,547.8,13227.0,15173.0,15583.2,0.8294
RT12,R01,R-P06,13374.3,109.242702,23.060836,555.5,14045.9,16165.3,16649.1,0.9236
RT13,R02,R-P02,15583.2,109.242702,23.006658,504.3,15919.5,17553.0,17694.0,0.5673
RT14,R01,R-P01,16649.1,109.230994,23.010269,395.2,16889.0,18662.2,18697.7,0.5561
