架次编号,服务区,中断占比,悬停经度,悬停纬度,悬停海拔m,离地m,保障能耗kWh,服务窗口起,服务窗口止,说明
T001,S002->S012,0.5525,109.273925,23.031941,562.3,250.0,0.8365,420.0,2563.8,单点全程覆盖
T002,S001->S002,0.4119,109.219286,23.035553,494.8,250.0,0.7385,510.0,2429.1,单点全程覆盖
T003,S006->S007,0.183,109.207577,23.021105,541.6,250.0,0.6278,360.0,2054.4,单点全程覆盖
T004,S001->S013,0.1492,109.230994,23.010269,395.2,250.0,0.4386,390.0,1778.5,单点全程覆盖
T005,S014,0.3062,109.266119,23.010269,559.0,250.0,0.5887,390.0,1861.1,单点全程覆盖
T006,S007,0.191,109.215383,23.028329,562.1,250.0,0.5227,360.0,1713.5,单点全程覆盖
T008,S013->S012,0.4521,109.262217,23.017493,572.1,250.0,0.7274,360.0,2334.9,单点全程覆盖
T009,S004,0.257,109.234897,23.060836,552.3,250.0,0.7338,1671.1,3490.2,单点全程覆盖
T010,S008,0.425,109.203674,23.039165,705.6,250.0,0.699,2073.5,3876.3,单点全程覆盖
T011,S010,0.197,109.242702,23.006658,504.3,250.0,0.4229,2168.5,3329.5,单点全程覆盖
T013,S008,0.425,109.203674,23.039165,705.6,250.0,0.699,2549.6,4352.4,单点全程覆盖
T016,S003,0.4254,109.219286,23.017493,511.8,250.0,0.6605,3122.3,5012.8,单点全程覆盖
T017,S009->S002,0.4821,109.219286,23.035553,494.8,250.0,0.6283,3687.1,5322.1,单点全程覆盖
T019,S011->S015->S003,0.4143,109.195869,23.021105,739.9,250.0,0.9646,5388.2,7947.7,单点全程覆盖
T020,S004,0.2671,109.234897,23.060836,552.3,250.0,0.6553,5374.3,6936.3,单点全程覆盖
T021,S007->S003->S006,0.3998,109.203674,23.021105,614.0,250.0,0.9169,5609.5,8102.0,单点全程覆盖
T022,S001->S005,0.2407,109.2388,23.006658,440.6,250.0,0.4866,5712.1,7149.7,单点全程覆盖
T023,S009,0.3074,109.230994,23.010269,395.2,250.0,0.3619,7296.3,8433.7,单点全程覆盖
T024,S005->S008,0.4449,109.203674,23.039165,705.6,250.0,0.6964,7509.7,9303.9,单点全程覆盖
T025,S005->S004->S002,0.5623,109.234897,23.060836,552.3,250.0,0.9564,8427.7,10855.1,单点全程覆盖
