架次,机型,服务区,历时s,实体机,电池,起飞s,返回s
T01,B,S010,1551.0,U06,BB04,1814.0,3365.0
T02,B,S002,1813.9,U06,BB02,0.1,1814.0
T03,C,S002,2038.4,U08,BC04,1433.8,3472.2
T04,C,S001,1490.7,U07,BC03,1688.7,3179.4
T05,C,S001,1688.7,U07,BC02,0.0,1688.7
T06,A,S013,1602.7,U04,BA06,2196.2,3798.9
T07,B,S014,1861.1,U05,BB03,0.0,1861.1
T08,A,S006,1316.9,U03,BA06,0.0,1316.9
T09,B,S012,1922.8,U05,BB01,1861.1,3783.9
T10,B,S013,1381.0,U06,BB03,3453.6,4834.6
T11,A,S008,2163.3,U02,BA04,1652.5,3815.8
T12,C,S006,1433.7,U08,BC01,0.0,1433.7
T13,B,S003,2068.4,U05,BB02,3783.9,5852.3
T14,C,S003,2355.3,U08,BC02,3472.2,5827.5
T15,C,S004,2301.5,U07,BC03,5237.6,7539.1
T16,B,S011,1185.1,U06,BB01,6658.1,7843.2
T17,C,S008,2058.1,U07,BC01,3179.5,5237.6
T18,C,S005,1875.3,U08,BC04,5854.6,7729.9
T19,B,S015,1823.5,U06,BB04,4834.6,6658.1
T20,B,S009,1557.4,U05,BB03,6156.6,7714.0
T21,A,S007,1652.5,U02,BA03,0.0,1652.5
T22,A,S007,1712.5,U01,BA02,1712.5,3425.0
T23,A,S007,1712.5,U01,BA01,0.0,1712.5
