架次,需要起,需要止,中继架次,在站起,在站止,重叠s,需要s,重叠率
T001,756.7,2157.7,,,,0.0,1401.0,0.0
T002,1249.5,2074.5,,,,0.0,825.0,0.0
T003,1138.4,1574.6,RT02,450.2,4512.8,436.2,436.2,1.0
T004,1034.0,1408.0,RT01,452.7,8102.9,374.0,374.0,1.0
T005,806.2,1414.3,,,,0.0,608.1,0.0
T006,814.8,1233.7,RT01,452.7,8102.9,418.9,418.9,1.0
T008,779.6,1890.7,,,,0.0,1111.1,0.0
T009,2260.5,2882.8,,,,0.0,622.3,0.0
T010,2522.9,3410.9,,,,0.0,888.0,0.0
T011,2533.2,2944.3,RT03,2133.5,2944.3,411.1,411.1,1.0
T013,2999.0,3887.0,,,,0.0,888.0,0.0
T016,3593.8,4512.8,RT02,450.2,4512.8,919.0,919.0,1.0
T017,4006.8,4985.4,RT04,2600.0,4985.4,978.6,978.6,1.0
T019,6169.3,7471.7,,,,0.0,1302.4,0.0
T020,5863.3,6429.3,RT05,4043.3,10500.5,566.0,566.0,1.0
T021,6024.0,7248.9,,,,0.0,1224.9,0.0
T022,6311.6,6768.3,RT01,452.7,8102.9,456.7,456.7,1.0
T023,7616.1,8102.9,RT01,452.7,8102.9,486.8,486.8,1.0
T024,7877.9,8912.8,RT06,6153.1,8912.8,1034.9,1034.9,1.0
T025,8809.1,10500.5,RT05,4043.3,10500.5,1691.4,1691.4,1.0
