### 村镇点位\镇龙乡及周边村镇点位.csv
n_rows≈166  n_cols=7
columns = ['点位编号', '名称', '类别', 'OSM编号', '位置', '经度', '纬度']
dtypes  = {'点位编号': 'str', '名称': 'str', '类别': 'str', 'OSM编号': 'int64', '位置': 'str', '经度': 'float64', '纬度': 'float64'}

     点位编号    名称  类别       OSM编号  位置          经度         纬度
0   ST001   黎塘镇  乡镇   621892885  乡外  109.129485  23.202840
1   ST002   三里镇  乡镇  3155700108  乡外  109.391795  23.056145
2   ST003   云表镇  乡镇  3155700111  乡外  109.385804  22.906288
3   ST004   五里镇  乡镇  3155700112  乡外  109.393858  22.961830
4   ST005   黄练镇  乡镇  3722472095  乡外  109.311810  23.158149
5   ST006    定布  村庄  3810307024  乡外  109.399985  23.199100
6   ST007    红坭  村庄  3810307026  乡外  109.397230  23.183709
7   ST008    平龙  村庄  3810307030  乡外  109.400783  23.216760
8   ST009  覃塘街道  乡镇  3810307031  乡外  109.415845  23.137393
9   ST010    宾州  村庄  3909352213  乡外  109.407000  23.004100
10  ST011    长塘  村庄  3909352214  乡外  109.420000  23.010100
11  ST012    东流  村庄  3909352217  乡外  109.444000  22.991500
12  ST013    吉水  村庄  3909352219  乡外  109.430000  23.031400
13  ST014    吉塘  村庄  3909352220  乡外  109.426000  23.019400
14  ST015    冷尾  村庄  3909352221  乡外  109.441000  23.001000
