### 道路\镇龙乡及周边道路.csv
n_rows≈21015  n_cols=7
columns = ['道路要素编号', '点序号', '名称', '道路类型', 'OSM编号', '经度', '纬度']
dtypes  = {'道路要素编号': 'str', '点序号': 'int64', '名称': 'str', '道路类型': 'str', 'OSM编号': 'int64', '经度': 'float64', '纬度': 'float64'}

    道路要素编号  点序号    名称    道路类型      OSM编号          经度         纬度
0   RD0001    1  柳南高速    高速公路   49177928  109.037892  23.186337
1   RD0001    2  柳南高速    高速公路   49177928  109.037711  23.185892
2   RD0001    3  柳南高速    高速公路   49177928  109.037064  23.184163
3   RD0001    4  柳南高速    高速公路   49177928  109.036494  23.182647
4   RD0002    1   未记录  高速公路匝道  184466570  109.040451  23.193096
5   RD0002    2   未记录  高速公路匝道  184466570  109.040050  23.192332
6   RD0002    3   未记录  高速公路匝道  184466570  109.039598  23.191240
7   RD0002    4   未记录  高速公路匝道  184466570  109.039376  23.190775
8   RD0002    5   未记录  高速公路匝道  184466570  109.039148  23.190440
9   RD0002    6   未记录  高速公路匝道  184466570  109.038856  23.190179
10  RD0002    7   未记录  高速公路匝道  184466570  109.038322  23.189886
11  RD0002    8   未记录  高速公路匝道  184466570  109.037745  23.189527
12  RD0002    9   未记录  高速公路匝道  184466570  109.037411  23.189220
13  RD0002   10   未记录  高速公路匝道  184466570  109.037205  23.188914
14  RD0002   11   未记录  高速公路匝道  184466570  109.037103  23.188624
