### 物资需求与配送时限.xlsx

sheets = ['数据', '逐箱货箱清单']

==============================================================================
-- sheet: 数据   shape=(54, 9)   (header=None 原样输出)
==============================================================================
        0       1      2         3         4         5       6          7          8
0   服务区编号    物资类型  总需求箱数  首批必须送达箱数  单箱质量（kg）  单箱体积（m³）  应急优先系数  首批截止时间（s）  期望送达时间（s）
1    S001    医疗物资      2         1         3     0.012      24       3600       3600
2    S001     饮用水      8         1        14     0.027      12       3600       3600
3    S001    应急食品      3         0         8     0.028      10        NaN       7200
4    S001  生活卫生用品      2         0         6     0.035       8        NaN      10800
5    S002    医疗物资      1         1         3     0.012      24       3600       3600
6    S002     饮用水      4         1        14     0.027      12       3600       3600
7    S002    应急食品      2         0         8     0.028      10        NaN       7200
8    S002  生活卫生用品      1         0         6     0.035       8        NaN      10800
9    S003    医疗物资      1         1         3     0.012      20       7200       7200
10   S003     饮用水      4         1        14     0.027      10       7200       7200
11   S003    应急食品      2         0         8     0.028       8        NaN      10800
12   S003  生活卫生用品      1         0         6     0.035       6        NaN      14400
13   S004    医疗物资      1         1         3     0.012      20       7200       7200
14   S004     饮用水      3         1        14     0.027      10       7200       7200
15   S004    应急食品      1         0         8     0.028       8        NaN      10800
16   S004  生活卫生用品      1         0         6     0.035       6        NaN      14400
17   S005    医疗物资      1         1         3     0.012      16      10800      10800
18   S005     饮用水      3         1        14     0.027       8      10800      10800
19   S005    应急食品      1         0         8     0.028       6        NaN      14400
20   S005  生活卫生用品      1         0         6     0.035       4        NaN      18000
21   S006    医疗物资      1         1         3     0.012      24       3600       3600
22   S006     饮用水      3         1        14     0.027      12       3600       3600
23   S006    应急食品      1         0         8     0.028      10        NaN       7200
24   S006  生活卫生用品      1         0         6     0.035       8        NaN      10800
25   S007    医疗物资      1         1         3     0.012      24       3600       3600
26   S007     饮用水      2         1        14     0.027      12       3600       3600
27   S007    应急食品      1         0         8     0.028      10        NaN       7200
28   S007  生活卫生用品      1         0         6     0.035       8        NaN      10800
29   S008    医疗物资      1         1         3     0.012      20       7200       7200
30   S008     饮用水      2         1        14     0.027      10       7200       7200
31   S008    应急食品      1         0         8     0.028       8        NaN      10800
32   S008  生活卫生用品      1         0         6     0.035       6        NaN      14400
33   S009    医疗物资      1         1         3     0.012      16      10800      10800
34   S009     饮用水      1         1        14     0.027       8      10800      10800
35   S009    应急食品      1         0         8     0.028       6        NaN      14400
36   S010    医疗物资      1         1         3     0.012      24       3600       3600
37   S010     饮用水      1         1        14     0.027      12       3600       3600
38   S010    应急食品      1         0         8     0.028      10        NaN       7200
39   S011    医疗物资      1         1         3     0.012      16      10800      10800
40   S011     饮用水      1         1        14     0.027       8      10800      10800
41   S011    应急食品      1         0         8     0.028       6        NaN      14400
42   S012    医疗物资      1         1         3     0.012      22       3600       7200
43   S012     饮用水      1         1        14     0.027      12       3600       3600
44   S012    应急食品      1         0         8     0.028      10        NaN       7200
45   S013    医疗物资      1         1         3     0.012      24       3600       3600
46   S013     饮用水      1         1        14     0.027      12       3600       3600
47   S013    应急食品      1         0         8     0.028      10        NaN       7200
48   S014    医疗物资      1         1         3     0.012      22       3600       7200
49   S014     饮用水      1         1        14     0.027      12       3600       3600
50   S014    应急食品      1         0         8     0.028      10        NaN       7200
51   S015    医疗物资      1         1         3     0.012      18       7200       7200
52   S015     饮用水      1         1        14     0.027       8      10800      10800
53   S015    应急食品      1         0         8     0.028       6        NaN      14400

-- 按默认表头解析: columns = ['服务区编号', '物资类型', '总需求箱数', '首批必须送达箱数', '单箱质量（kg）', '单箱体积（m³）', '应急优先系数', '首批截止时间（s）', '期望送达时间（s）']
   dtypes = {'服务区编号': 'str', '物资类型': 'str', '总需求箱数': 'int64', '首批必须送达箱数': 'int64', '单箱质量（kg）': 'int64', '单箱体积（m³）': 'float64', '应急优先系数': 'int64', '首批截止时间（s）': 'float64', '期望送达时间（s）': 'int64'}

==============================================================================
-- sheet: 逐箱货箱清单   shape=(81, 9)   (header=None 原样输出)
==============================================================================
              0      1       2         3         4       5          6          7       8
0          货箱编号  服务区编号    物资类型  单箱质量（kg）  单箱体积（m³）  是否首批保障  首批截止时间（s）  期望送达时间（s）  应急优先系数
1   S001-MED-01   S001    医疗物资         3     0.012       是       3600       3600      24
2   S001-MED-02   S001    医疗物资         3     0.012       否        NaN       3600      24
3   S001-WAT-01   S001     饮用水        14     0.027       是       3600       3600      12
4   S001-WAT-02   S001     饮用水        14     0.027       否        NaN       3600      12
5   S001-WAT-03   S001     饮用水        14     0.027       否        NaN       3600      12
6   S001-WAT-04   S001     饮用水        14     0.027       否        NaN       3600      12
7   S001-WAT-05   S001     饮用水        14     0.027       否        NaN       3600      12
8   S001-WAT-06   S001     饮用水        14     0.027       否        NaN       3600      12
9   S001-WAT-07   S001     饮用水        14     0.027       否        NaN       3600      12
10  S001-WAT-08   S001     饮用水        14     0.027       否        NaN       3600      12
11  S001-FOD-01   S001    应急食品         8     0.028       否        NaN       7200      10
12  S001-FOD-02   S001    应急食品         8     0.028       否        NaN       7200      10
13  S001-FOD-03   S001    应急食品         8     0.028       否        NaN       7200      10
14  S001-HYG-01   S001  生活卫生用品         6     0.035       否        NaN      10800       8
15  S001-HYG-02   S001  生活卫生用品         6     0.035       否        NaN      10800       8
16  S002-MED-01   S002    医疗物资         3     0.012       是       3600       3600      24
17  S002-WAT-01   S002     饮用水        14     0.027       是       3600       3600      12
18  S002-WAT-02   S002     饮用水        14     0.027       否        NaN       3600      12
19  S002-WAT-03   S002     饮用水        14     0.027       否        NaN       3600      12
20  S002-WAT-04   S002     饮用水        14     0.027       否        NaN       3600      12
21  S002-FOD-01   S002    应急食品         8     0.028       否        NaN       7200      10
22  S002-FOD-02   S002    应急食品         8     0.028       否        NaN       7200      10
23  S002-HYG-01   S002  生活卫生用品         6     0.035       否        NaN      10800       8
24  S003-MED-01   S003    医疗物资         3     0.012       是       7200       7200      20
25  S003-WAT-01   S003     饮用水        14     0.027       是       7200       7200      10
26  S003-WAT-02   S003     饮用水        14     0.027       否        NaN       7200      10
27  S003-WAT-03   S003     饮用水        14     0.027       否        NaN       7200      10
28  S003-WAT-04   S003     饮用水        14     0.027       否        NaN       7200      10
29  S003-FOD-01   S003    应急食品         8     0.028       否        NaN      10800       8
30  S003-FOD-02   S003    应急食品         8     0.028       否        NaN      10800       8
31  S003-HYG-01   S003  生活卫生用品         6     0.035       否        NaN      14400       6
32  S004-MED-01   S004    医疗物资         3     0.012       是       7200       7200      20
33  S004-WAT-01   S004     饮用水        14     0.027       是       7200       7200      10
34  S004-WAT-02   S004     饮用水        14     0.027       否        NaN       7200      10
35  S004-WAT-03   S004     饮用水        14     0.027       否        NaN       7200      10
36  S004-FOD-01   S004    应急食品         8     0.028       否        NaN      10800       8
37  S004-HYG-01   S004  生活卫生用品         6     0.035       否        NaN      14400       6
38  S005-MED-01   S005    医疗物资         3     0.012       是      10800      10800      16
39  S005-WAT-01   S005     饮用水        14     0.027       是      10800      10800       8
40  S005-WAT-02   S005     饮用水        14     0.027       否        NaN      10800       8
41  S005-WAT-03   S005     饮用水        14     0.027       否        NaN      10800       8
42  S005-FOD-01   S005    应急食品         8     0.028       否        NaN      14400       6
43  S005-HYG-01   S005  生活卫生用品         6     0.035       否        NaN      18000       4
44  S006-MED-01   S006    医疗物资         3     0.012       是       3600       3600      24
45  S006-WAT-01   S006     饮用水        14     0.027       是       3600       3600      12
46  S006-WAT-02   S006     饮用水        14     0.027       否        NaN       3600      12
47  S006-WAT-03   S006     饮用水        14     0.027       否        NaN       3600      12
48  S006-FOD-01   S006    应急食品         8     0.028       否        NaN       7200      10
49  S006-HYG-01   S006  生活卫生用品         6     0.035       否        NaN      10800       8
50  S007-MED-01   S007    医疗物资         3     0.012       是       3600       3600      24
