服务区,箱数,总质量,总体积,机型,备注,往返时间_s
S001,15,154.0,0.394,—,无机型可一次装载（需拆分架次）,
S002,8,81.0,0.211,—,无机型可一次装载（需拆分架次）,
S003,8,81.0,0.211,—,无机型可一次装载（需拆分架次）,
S004,6,59.0,0.156,C,,1425.5
S005,6,59.0,0.156,C,,999.3
S006,6,59.0,0.156,C,C 型实体机耗尽（2 架）,
S007,5,45.0,0.129,C,C 型实体机耗尽（2 架）,
S008,5,45.0,0.129,C,C 型实体机耗尽（2 架）,
S009,3,25.0,0.067,C,C 型实体机耗尽（2 架）,
S010,3,25.0,0.067,C,C 型实体机耗尽（2 架）,
S011,3,25.0,0.067,C,C 型实体机耗尽（2 架）,
S012,3,25.0,0.067,C,C 型实体机耗尽（2 架）,
S013,3,25.0,0.067,C,C 型实体机耗尽（2 架）,
S014,3,25.0,0.067,C,C 型实体机耗尽（2 架）,
S015,3,25.0,0.067,C,C 型实体机耗尽（2 架）,
