服务区,地面海拔_m,单向距离_m,航段最高地面_m,巡航海拔_m,去程爬升_m,去程下降_m,去程时间_s,A_q_max_kg,A_能耗_kWh,A_往返时间_s,B_q_max_kg,B_能耗_kWh,B_往返时间_s,C_q_max_kg,C_能耗_kWh,C_往返时间_s
S001,154.0,3054.0,221.1,271.1,143.4,87.1,337.2,25.0,1.311,678.1,30.0,1.273,576.3,80.0,3.08,614.7
S002,189.5,7411.3,257.0,307.0,179.3,87.5,712.4,25.0,3.089,1430.9,30.0,2.998,1183.9,68.88,6.4,1228.4
S003,308.5,7263.2,503.6,553.6,425.9,215.1,833.3,25.0,3.152,1680.6,30.0,3.059,1438.5,68.31,6.4,1545.4
S004,198.3,7714.7,348.5,398.5,270.8,170.2,801.2,25.0,3.267,1609.2,30.0,3.17,1352.0,63.69,6.4,1425.5
S005,165.0,5280.6,275.4,325.4,197.7,130.4,558.1,25.0,2.244,1120.6,30.0,2.178,944.6,80.0,5.292,999.3
S006,284.8,3186.2,314.5,364.5,236.8,49.7,364.4,25.0,1.389,741.2,30.0,1.349,635.0,80.0,3.252,682.7
S007,318.5,4534.5,452.6,502.6,374.9,154.1,564.4,25.0,2.012,1143.6,30.0,1.954,992.5,80.0,4.672,1080.6
S008,240.9,8079.0,317.2,367.2,239.5,96.3,791.6,25.0,3.384,1592.8,28.85,3.2,1323.5,58.99,6.4,1379.4
S009,200.0,5705.1,242.5,292.5,164.8,62.5,555.4,25.0,2.386,1117.5,30.0,2.316,927.4,80.0,5.669,965.2
S010,321.6,4784.5,382.7,432.7,305.0,81.1,532.8,25.0,2.069,1080.6,30.0,2.009,921.1,80.0,4.856,985.5
S011,182.1,2808.1,243.1,293.1,165.4,81.0,321.6,25.0,1.218,648.7,30.0,1.183,555.1,80.0,2.851,596.2
S012,249.8,7390.5,363.4,413.4,285.7,133.6,764.5,25.0,3.131,1539.2,30.0,3.039,1292.9,68.12,6.4,1362.7
S013,321.7,4849.2,345.4,395.4,267.7,43.7,510.8,25.0,2.072,1036.5,30.0,2.012,874.9,80.0,4.888,926.7
S014,321.0,5419.6,536.1,586.1,458.4,235.1,698.5,25.0,2.422,1411.9,30.0,2.352,1231.2,80.0,5.603,1346.8
S015,444.5,6009.4,518.5,568.5,440.8,94.0,685.3,25.0,2.617,1393.8,30.0,2.542,1193.5,80.0,6.13,1282.7
