服务区,航段长度_m,巡航海拔_m,航段最高地面_m,采样点数,遮挡点数,中断点数,中断占比,直连可行
S001,3054.0,271.1,221.1,14,6,0,0.0,True
S002,7411.3,307.0,257.0,31,21,14,0.4516,False
S003,7263.2,553.6,503.6,31,15,14,0.4516,False
S004,7714.7,398.5,348.5,32,7,7,0.2188,False
S005,5280.6,325.4,275.4,23,4,4,0.1739,False
S006,3186.2,364.5,314.5,14,7,0,0.0,True
S007,4534.5,502.6,452.6,20,3,3,0.15,False
S008,8079.0,367.2,317.2,34,15,15,0.4412,False
S009,5705.1,292.5,242.5,24,16,8,0.3333,False
S010,4784.5,432.7,382.7,21,13,4,0.1905,False
S011,2808.1,293.1,243.1,13,4,0,0.0,True
S012,7390.5,413.4,363.4,31,17,14,0.4516,False
S013,4849.2,395.4,345.4,21,9,4,0.1905,False
S014,5419.6,586.1,536.1,23,10,7,0.3043,False
S015,6009.4,568.5,518.5,26,11,9,0.3462,False
