架次编号,服务区编号,机型编号,货箱数,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-01,S001,C,6,S001-FOD-01|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-01,78.0,0.163,1490.7,2.99408,62.57
Q1-02,S001,C,9,S001-MED-02|S001-MED-01|S001-HYG-01|S001-HYG-02|S001-FOD-02|S001-FOD-03|S001-WAT-06|S001-WAT-07|S001-WAT-08,76.0,0.231,1688.7,2.91591,63.55
Q1-03,S002,B,3,S002-MED-01|S002-FOD-01|S002-WAT-01,25.0,0.067,1813.9,2.71227,32.19
Q1-04,S002,C,5,S002-HYG-01|S002-FOD-02|S002-WAT-02|S002-WAT-03|S002-WAT-04,56.0,0.144,2038.4,5.71976,28.5
Q1-05,S003,B,3,S003-MED-01|S003-FOD-01|S003-WAT-01,25.0,0.067,2068.4,2.77481,30.63
Q1-06,S003,C,5,S003-HYG-01|S003-FOD-02|S003-WAT-02|S003-WAT-03|S003-WAT-04,56.0,0.144,2355.3,5.75831,28.02
Q1-07,S004,C,6,S004-MED-01|S004-HYG-01|S004-FOD-01|S004-WAT-02|S004-WAT-03|S004-WAT-01,59.0,0.156,2301.5,6.15306,23.09
Q1-08,S005,C,6,S005-MED-01|S005-HYG-01|S005-FOD-01|S005-WAT-02|S005-WAT-03|S005-WAT-01,59.0,0.156,1875.3,4.22136,47.23
Q1-09,S006,C,6,S006-MED-01|S006-HYG-01|S006-FOD-01|S006-WAT-02|S006-WAT-03|S006-WAT-01,59.0,0.156,1558.6,2.59617,67.55
Q1-10,S007,C,5,S007-MED-01|S007-HYG-01|S007-FOD-01|S007-WAT-02|S007-WAT-01,45.0,0.129,1890.5,3.40386,57.45
Q1-11,S008,C,5,S008-MED-01|S008-HYG-01|S008-FOD-01|S008-WAT-02|S008-WAT-01,45.0,0.129,2189.4,5.83198,27.1
Q1-12,S009,B,3,S009-MED-01|S009-FOD-01|S009-WAT-01,25.0,0.067,1557.4,2.09576,47.61
Q1-13,S010,B,3,S010-MED-01|S010-FOD-01|S010-WAT-01,25.0,0.067,1551.0,1.82113,54.47
Q1-14,S011,B,3,S011-MED-01|S011-FOD-01|S011-WAT-01,25.0,0.067,1185.1,1.07259,73.19
Q1-15,S012,B,3,S012-MED-01|S012-FOD-01|S012-WAT-01,25.0,0.067,1922.8,2.75233,31.19
Q1-16,S013,B,3,S013-MED-01|S013-FOD-01|S013-WAT-01,25.0,0.067,1504.8,1.82229,54.44
Q1-17,S014,B,3,S014-MED-01|S014-FOD-01|S014-WAT-01,25.0,0.067,1861.1,2.13643,46.59
Q1-18,S015,B,3,S015-MED-01|S015-FOD-01|S015-WAT-01,25.0,0.067,1823.5,2.30541,42.36
