service_id,type_code,last_feasible_rho,payload_at_last_rho_kg,distance_m
S001,A,0.5,25.0,3053.9
S002,A,0.35,17.353,7411.3
S003,A,0.35,13.908,7262.5
S004,A,0.35,5.057,7714.7
S005,A,0.5,25.0,5280.6
S006,A,0.5,25.0,3185.4
S007,A,0.5,25.0,4533.9
S008,A,0.3,14.414,8079.0
S009,A,0.5,16.676,5705.1
S010,A,0.5,25.0,4783.6
S011,A,0.5,25.0,2808.0
S012,A,0.35,15.059,7390.2
S013,A,0.5,25.0,4848.7
S014,A,0.5,14.183,5418.3
S015,A,0.45,17.329,6009.2
S001,B,0.5,30.0,3053.9
S002,B,0.45,3.034,7411.3
S003,B,0.4,13.092,7262.5
S004,B,0.4,8.66,7714.7
S005,B,0.5,25.787,5280.6
S006,B,0.5,30.0,3185.4
S007,B,0.5,30.0,4533.9
S008,B,0.4,1.825,8079.0
S009,B,0.5,22.008,5705.1
S010,B,0.5,29.806,4783.6
S011,B,0.5,30.0,2808.0
S012,B,0.4,14.146,7390.2
S013,B,0.5,29.744,4848.7
S014,B,0.5,20.444,5418.3
S015,B,0.5,13.582,6009.2
S001,C,0.5,80.0,3053.9
S002,C,0.4,19.308,7411.3
S003,C,0.4,17.704,7262.5
S004,C,0.35,28.487,7714.7
S005,C,0.5,51.467,5280.6
S006,C,0.5,80.0,3185.4
S007,C,0.5,66.863,4533.9
S008,C,0.35,15.939,8079.0
S009,C,0.5,39.56,5705.1
S010,C,0.5,62.811,4783.6
S011,C,0.5,80.0,2808.0
S012,C,0.4,16.71,7390.2
S013,C,0.5,62.138,4848.7
S014,C,0.5,41.034,5418.3
S015,C,0.5,19.496,6009.2
