service_id,type_code,rho,max_payload_kg
S001,A,0.1,25.0
S001,A,0.2,25.0
S001,A,0.3,25.0
S001,A,0.4,25.0
S001,A,0.5,25.0
S002,A,0.1,25.0
S002,A,0.2,25.0
S002,A,0.3,25.0
S002,A,0.4,0.0
S002,A,0.5,0.0
S003,A,0.1,25.0
S003,A,0.2,25.0
S003,A,0.3,24.9473
S003,A,0.4,0.0
S003,A,0.5,0.0
S004,A,0.1,25.0
S004,A,0.2,25.0
S004,A,0.3,20.164
S004,A,0.4,0.0
S004,A,0.5,0.0
S005,A,0.1,25.0
S005,A,0.2,25.0
S005,A,0.3,25.0
S005,A,0.4,25.0
S005,A,0.5,25.0
S006,A,0.1,25.0
S006,A,0.2,25.0
S006,A,0.3,25.0
S006,A,0.4,25.0
S006,A,0.5,25.0
S007,A,0.1,25.0
S007,A,0.2,25.0
S007,A,0.3,25.0
S007,A,0.4,25.0
S007,A,0.5,25.0
S008,A,0.1,25.0
S008,A,0.2,25.0
S008,A,0.3,14.4141
S008,A,0.4,0.0
S008,A,0.5,0.0
S009,A,0.1,25.0
S009,A,0.2,25.0
S009,A,0.3,25.0
S009,A,0.4,25.0
S009,A,0.5,16.6764
S010,A,0.1,25.0
S010,A,0.2,25.0
S010,A,0.3,25.0
S010,A,0.4,25.0
S010,A,0.5,25.0
S011,A,0.1,25.0
S011,A,0.2,25.0
S011,A,0.3,25.0
S011,A,0.4,25.0
S011,A,0.5,25.0
S012,A,0.1,25.0
S012,A,0.2,25.0
S012,A,0.3,25.0
S012,A,0.4,0.0
S012,A,0.5,0.0
S013,A,0.1,25.0
S013,A,0.2,25.0
S013,A,0.3,25.0
S013,A,0.4,25.0
S013,A,0.5,25.0
S014,A,0.1,25.0
S014,A,0.2,25.0
S014,A,0.3,25.0
S014,A,0.4,25.0
S014,A,0.5,14.1829
S015,A,0.1,25.0
S015,A,0.2,25.0
S015,A,0.3,25.0
S015,A,0.4,25.0
S015,A,0.5,0.0
S001,B,0.1,30.0
S001,B,0.2,30.0
S001,B,0.3,30.0
S001,B,0.4,30.0
S001,B,0.5,30.0
S002,B,0.1,30.0
S002,B,0.2,30.0
S002,B,0.3,26.7679
S002,B,0.4,15.7476
S002,B,0.5,0.0
S003,B,0.1,30.0
S003,B,0.2,30.0
S003,B,0.3,25.5332
S003,B,0.4,13.0919
S003,B,0.5,0.0
S004,B,0.1,30.0
S004,B,0.2,30.0
S004,B,0.3,23.4394
S004,B,0.4,8.6605
S004,B,0.5,0.0
S005,B,0.1,30.0
S005,B,0.2,30.0
S005,B,0.3,30.0
S005,B,0.4,30.0
S005,B,0.5,25.7874
S006,B,0.1,30.0
S006,B,0.2,30.0
S006,B,0.3,30.0
S006,B,0.4,30.0
S006,B,0.5,30.0
S007,B,0.1,30.0
S007,B,0.2,30.0
S007,B,0.3,30.0
S007,B,0.4,30.0
S007,B,0.5,30.0
S008,B,0.1,30.0
S008,B,0.2,28.8514
S008,B,0.3,21.0877
S008,B,0.4,1.8246
S008,B,0.5,0.0
S009,B,0.1,30.0
S009,B,0.2,30.0
S009,B,0.3,30.0
S009,B,0.4,30.0
S009,B,0.5,22.0083
S010,B,0.1,30.0
S010,B,0.2,30.0
S010,B,0.3,30.0
S010,B,0.4,30.0
S010,B,0.5,29.8057
S011,B,0.1,30.0
S011,B,0.2,30.0
S011,B,0.3,30.0
S011,B,0.4,30.0
S011,B,0.5,30.0
S012,B,0.1,30.0
S012,B,0.2,30.0
S012,B,0.3,25.9859
S012,B,0.4,14.1458
S012,B,0.5,0.0
S013,B,0.1,30.0
S013,B,0.2,30.0
S013,B,0.3,30.0
S013,B,0.4,30.0
S013,B,0.5,29.7435
S014,B,0.1,30.0
S014,B,0.2,30.0
S014,B,0.3,30.0
S014,B,0.4,30.0
S014,B,0.5,20.4438
