货箱编号,服务区,架次,首批保障,首批截止（s）,期望送达（s）,实际交付（s）,首批达标,期望达标
S001-FOD-01,S001,T04,否,,7200.0,2874.5,—,是
S001-FOD-02,S001,T04,否,,7200.0,2874.5,—,是
S001-FOD-03,S001,T04,否,,7200.0,2874.5,—,是
S001-HYG-01,S001,T04,否,,10800.0,2874.5,—,是
S001-HYG-02,S001,T04,否,,10800.0,2874.5,—,是
S001-MED-01,S001,T03,是,3600.0,3600.0,1248.3,是,是
S001-MED-02,S001,T03,否,,3600.0,1248.3,—,是
S001-WAT-01,S001,T04,是,3600.0,3600.0,2874.5,是,是
S001-WAT-02,S001,T04,否,,3600.0,2874.5,—,是
S001-WAT-03,S001,T04,否,,3600.0,2874.5,—,是
S001-WAT-04,S001,T03,否,,3600.0,1248.3,—,是
S001-WAT-05,S001,T03,否,,3600.0,1248.3,—,是
S001-WAT-06,S001,T03,否,,3600.0,1248.3,—,是
S001-WAT-07,S001,T03,否,,3600.0,1248.3,—,是
S001-WAT-08,S001,T03,否,,3600.0,1248.3,—,是
S002-FOD-01,S002,T08,否,,7200.0,2857.2,—,是
S002-FOD-02,S002,T02,否,,7200.0,3164.9,—,是
S002-HYG-01,S002,T08,否,,10800.0,2857.2,—,是
S002-MED-01,S002,T02,是,3600.0,3600.0,3164.9,是,是
S002-WAT-01,S002,T08,是,3600.0,3600.0,2857.2,是,是
S002-WAT-02,S002,T08,否,,3600.0,2857.2,—,是
S002-WAT-03,S002,T08,否,,3600.0,2857.2,—,是
S002-WAT-04,S002,T02,否,,3600.0,3164.9,—,是
S003-FOD-01,S003,T15,否,,10800.0,5059.2,—,是
S003-FOD-02,S003,T13,否,,10800.0,5154.1,—,是
S003-HYG-01,S003,T15,否,,14400.0,5059.2,—,是
S003-MED-01,S003,T13,是,7200.0,7200.0,5154.1,是,是
S003-WAT-01,S003,T15,是,7200.0,7200.0,5059.2,是,是
S003-WAT-02,S003,T15,否,,7200.0,5059.2,—,是
S003-WAT-03,S003,T15,否,,7200.0,5059.2,—,是
S003-WAT-04,S003,T13,否,,7200.0,5154.1,—,是
S004-FOD-01,S004,T14,否,,10800.0,6828.0,—,是
S004-HYG-01,S004,T14,否,,14400.0,6828.0,—,是
S004-MED-01,S004,T14,是,7200.0,7200.0,6828.0,是,是
S004-WAT-01,S004,T14,是,7200.0,7200.0,6828.0,是,是
S004-WAT-02,S004,T14,否,,7200.0,6828.0,—,是
S004-WAT-03,S004,T14,否,,7200.0,6828.0,—,是
S005-FOD-01,S005,T18,否,,14400.0,7236.2,—,是
S005-HYG-01,S005,T18,否,,18000.0,7236.2,—,是
S005-MED-01,S005,T18,是,10800.0,10800.0,7236.2,是,是
S005-WAT-01,S005,T18,是,10800.0,10800.0,7236.2,是,是
S005-WAT-02,S005,T18,否,,10800.0,7236.2,—,是
S005-WAT-03,S005,T18,否,,10800.0,7236.2,—,是
S006-FOD-01,S006,T12,否,,7200.0,1079.5,—,是
S006-HYG-01,S006,T12,否,,10800.0,1079.5,—,是
S006-MED-01,S006,T07,是,3600.0,3600.0,937.2,是,是
S006-WAT-01,S006,T07,是,3600.0,3600.0,937.2,是,是
S006-WAT-02,S006,T12,否,,3600.0,1079.5,—,是
S006-WAT-03,S006,T12,否,,3600.0,1079.5,—,是
S007-FOD-01,S007,T22,否,,7200.0,2846.5,—,是
S007-HYG-01,S007,T23,否,,10800.0,1133.9,—,是
S007-MED-01,S007,T23,是,3600.0,3600.0,1133.9,是,是
S007-WAT-01,S007,T21,是,3600.0,3600.0,1073.9,是,是
S007-WAT-02,S007,T22,否,,3600.0,2846.5,—,是
S008-FOD-01,S008,T17,否,,10800.0,4547.3,—,是
S008-HYG-01,S008,T17,否,,14400.0,4547.3,—,是
S008-MED-01,S008,T11,是,7200.0,7200.0,1361.9,是,是
S008-WAT-01,S008,T11,是,7200.0,7200.0,1361.9,是,是
S008-WAT-02,S008,T17,否,,7200.0,4547.3,—,是
S009-FOD-01,S009,T20,否,,14400.0,4491.9,—,是
S009-MED-01,S009,T20,是,10800.0,10800.0,4491.9,是,是
S009-WAT-01,S009,T20,是,10800.0,10800.0,4491.9,是,是
S010-FOD-01,S010,T01,否,,7200.0,1085.2,—,是
S010-MED-01,S010,T01,是,3600.0,3600.0,1085.2,是,是
S010-WAT-01,S010,T01,是,3600.0,3600.0,1085.2,是,是
S011-FOD-01,S011,T16,否,,14400.0,7441.1,—,是
S011-MED-01,S011,T16,是,10800.0,10800.0,7441.1,是,是
S011-WAT-01,S011,T16,是,10800.0,10800.0,7441.1,是,是
S012-FOD-01,S012,T09,否,,7200.0,1281.4,—,是
S012-MED-01,S012,T09,是,3600.0,7200.0,1281.4,是,是
S012-WAT-01,S012,T09,是,3600.0,3600.0,1281.4,是,是
S013-FOD-01,S013,T10,否,,7200.0,5929.2,—,是
S013-MED-01,S013,T05,是,3600.0,3600.0,3275.1,是,是
S013-WAT-01,S013,T05,是,3600.0,3600.0,3275.1,是,是
S014-FOD-01,S014,T06,否,,7200.0,2785.8,—,是
S014-MED-01,S014,T06,是,3600.0,7200.0,2785.8,是,是
S014-WAT-01,S014,T06,是,3600.0,3600.0,2785.8,是,是
S015-FOD-01,S015,T19,否,,14400.0,7104.1,—,是
S015-MED-01,S015,T19,是,7200.0,7200.0,7104.1,是,是
S015-WAT-01,S015,T19,是,10800.0,10800.0,7104.1,是,是
