电池编号,机型,架次,占用开始（s）,占用结束（s）,返航SOC（%）
BA01,A,T23,0.0,1712.5,59.52
BA02,A,T22,1712.6,3425.1,56.34
BA03,A,T21,0.0,1652.5,58.52
BA04,A,T11,0.0,2163.3,28.96
BA06,A,T05,2196.2,3798.9,56.57
BA06,A,T07,0.0,1316.9,70.82
BB01,B,T01,0.0,1555.4,54.42
BB01,B,T16,6534.7,7723.1,73.15
BB01,B,T20,3401.1,4959.5,47.59
BB02,B,T06,1555.4,3401.1,46.73
BB02,B,T10,4991.1,6372.1,62.19
BB03,B,T02,1943.0,3763.0,32.13
BB03,B,T19,5886.5,7714.8,42.31
BB04,B,T09,0.0,1943.0,30.99
BB04,B,T13,3805.9,5886.4,30.5
BC01,C,T12,0.0,1433.7,70.88
BC01,C,T17,3186.4,5244.5,32.52
BC02,C,T08,1433.8,3479.7,28.46
BC02,C,T18,5863.0,7740.2,47.22
BC03,C,T04,1560.2,3186.4,62.55
BC03,C,T14,5244.5,7545.6,23.09
BC04,C,T03,0.0,1560.2,63.53
BC04,C,T15,3479.7,5849.8,27.94
