架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U05,B,B-B01,0.0,S001,1206.3,1.05976
T002,U06,B,B-B02,0.0,S001,1146.3,1.21921
T003,U06,B,B-B03,1146.3,S001,2292.5,1.21921
T004,U05,B,B-B04,1206.3,S001,2352.5,1.21921
T005,U06,B,B-B01,2332.2,S006,3597.0,1.22313
T006,U05,B,B-B02,2352.5,S006,3557.4,1.2923
T007,U05,B,B-B03,3557.4,S005,5072.0,2.08547
T008,U06,B,B-B04,3597.0,S011→S009,5474.1,2.10653
T009,U05,B,B-B01,5072.0,S011→S015,7075.5,2.27823
T010,U06,B,B-B02,5474.1,S001→S014,7683.3,2.28195
T011,U05,B,B-B03,7075.5,S005→S015,9321.5,2.50092
T012,U06,B,B-B04,7683.3,S005→S009,9625.0,2.61763
T013,U05,B,B-B01,9321.5,S004→S008,11651.4,2.92255
T014,U06,B,B-B02,9625.0,S005→S003,12187.1,3.06785
T015,U05,B,B-B03,11651.4,S007→S002,14136.2,3.15424
T016,U06,B,B-B04,12187.1,S001→S008,14356.2,2.83485
T017,U05,B,B-B01,14136.2,S006→S003,16455.2,2.65676
T018,U06,B,B-B02,14356.2,S004,16278.3,3.03546
T019,U06,B,B-B03,16278.3,S003,18286.7,2.93121
T020,U05,B,B-B04,16455.2,S001→S002,18423.4,2.60015
T021,U06,B,B-B01,18286.7,S002,20040.6,2.86897
T022,U05,B,B-B02,18423.4,S004→S008,20813.3,3.10906
T023,U06,B,B-B04,20216.8,S003,22285.2,2.54912
T024,U05,B,B-B03,20813.3,S001→S002,22781.4,2.42047
T025,U06,B,B-B01,22285.2,S001→S002,24313.3,2.37839
T026,U05,B,B-B02,22827.2,S007,24389.6,1.87313
T027,U06,B,B-B04,24313.3,S010→S007,26627.0,2.79581
T028,U05,B,B-B03,24497.0,S013→S012→S002,27054.3,3.00123
T029,U06,B,B-B01,26627.0,S005→S004,28780.8,2.61044
T030,U05,B,B-B02,27054.3,S007→S003→S015,29537.9,2.88281
T031,U06,B,B-B04,28780.8,S010,30271.8,1.63421
T032,U05,B,B-B03,29537.9,S014,31339.0,1.92129
T033,U06,B,B-B01,30578.7,S013→S012,32662.0,2.80974
T034,U05,B,B-B02,31453.8,S011→S008,33651.2,2.74665
T035,U06,B,B-B04,32662.0,S002→S012→S013,35219.3,3.10204
