货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T04,S001,2373.3
S001-FOD-02,T04,S001,2373.3
S001-FOD-03,T04,S001,2373.3
S001-HYG-01,T04,S001,2373.3
S001-HYG-02,T04,S001,2373.3
S001-MED-01,T03,S001,780.1
S001-MED-02,T03,S001,780.1
S001-WAT-01,T04,S001,2373.3
S001-WAT-02,T04,S001,2373.3
S001-WAT-03,T04,S001,2373.3
S001-WAT-04,T03,S001,780.1
S001-WAT-05,T03,S001,780.1
S001-WAT-06,T03,S001,780.1
S001-WAT-07,T03,S001,780.1
S001-WAT-08,T03,S001,780.1
S002-FOD-01,T08,S002,2456.6
S002-FOD-02,T02,S002,910.1
S002-HYG-01,T08,S002,2456.6
S002-MED-01,T02,S002,910.1
S002-WAT-01,T08,S002,2456.6
S002-WAT-02,T08,S002,2456.6
S002-WAT-03,T08,S002,2456.6
S002-WAT-04,T02,S002,910.1
S003-FOD-01,T15,S003,6429.5
S003-FOD-02,T13,S003,6674.8
S003-HYG-01,T15,S003,6429.5
S003-MED-01,T13,S003,6674.8
S003-WAT-01,T15,S003,6429.5
S003-WAT-02,T15,S003,6429.5
S003-WAT-03,T15,S003,6429.5
S003-WAT-04,T13,S003,6674.8
S004-FOD-01,T14,S004,4630.1
S004-HYG-01,T14,S004,4630.1
S004-MED-01,T14,S004,4630.1
S004-WAT-01,T14,S004,4630.1
S004-WAT-02,T14,S004,4630.1
S004-WAT-03,T14,S004,4630.1
S005-FOD-01,T18,S005,6801.5
S005-HYG-01,T18,S005,6801.5
S005-MED-01,T18,S005,6801.5
S005-WAT-01,T18,S005,6801.5
S005-WAT-02,T18,S005,6801.5
S005-WAT-03,T18,S005,6801.5
S006-FOD-01,T12,S006,716.9
S006-HYG-01,T12,S006,716.9
S006-MED-01,T07,S006,658.4
S006-WAT-01,T07,S006,658.4
S006-WAT-02,T12,S006,716.9
S006-WAT-03,T12,S006,716.9
S007-FOD-01,T22,S007,856.3
S007-HYG-01,T23,S007,2568.8
S007-MED-01,T23,S007,2568.8
S007-WAT-01,T21,S007,826.3
S007-WAT-02,T22,S007,856.3
S008-FOD-01,T17,S008,4215.4
S008-HYG-01,T17,S008,4215.4
S008-MED-01,T11,S008,2734.1
S008-WAT-01,T11,S008,2734.1
S008-WAT-02,T17,S008,4215.4
S009-FOD-01,T20,S009,5770.3
S009-MED-01,T20,S009,5770.3
S009-WAT-01,T20,S009,5770.3
S010-FOD-01,T01,S010,777.7
S010-MED-01,T01,S010,777.7
S010-WAT-01,T01,S010,777.7
S011-FOD-01,T16,S011,7143.7
S011-MED-01,T16,S011,7143.7
S011-WAT-01,T16,S011,7143.7
S012-FOD-01,T09,S012,2791.6
S012-MED-01,T09,S012,2791.6
S012-WAT-01,T09,S012,2791.6
S013-FOD-01,T10,S013,4091.6
S013-MED-01,T05,S013,801.3
S013-WAT-01,T05,S013,801.3
S014-FOD-01,T06,S014,2478.2
S014-MED-01,T06,S014,2478.2
S014-WAT-01,T06,S014,2478.2
S015-FOD-01,T19,S015,4720.2
S015-MED-01,T19,S015,4720.2
S015-WAT-01,T19,S015,4720.2
