架次编号,需要起,需要止,在站起,在站止,时间重叠率
T001,756.7,2157.7,,,0.0
T002,1249.5,2074.5,,,0.0
T003,1138.4,1574.6,450.2,4512.8,1.0
T004,1034.0,1408.0,452.7,8102.9,1.0
T005,806.2,1414.3,,,0.0
T006,814.8,1233.7,452.7,8102.9,1.0
T008,779.6,1890.7,,,0.0
T009,2260.5,2882.8,,,0.0
T010,2522.9,3410.9,,,0.0
T011,2533.2,2944.3,2133.5,2944.3,1.0
T013,2999.0,3887.0,,,0.0
T016,3593.8,4512.8,450.2,4512.8,1.0
T017,4006.8,4985.4,2600.0,4985.4,1.0
T019,6169.3,7471.7,,,0.0
T020,5863.3,6429.3,4043.3,10500.5,1.0
T021,6024.0,7248.9,,,0.0
T022,6311.6,6768.3,452.7,8102.9,1.0
T023,7616.1,8102.9,452.7,8102.9,1.0
T024,7877.9,8912.8,6153.1,8912.8,1.0
T025,8809.1,10500.5,4043.3,10500.5,1.0
