架次编号,服务区,中断占比,悬停经度,悬停纬度,悬停海拔m,离地m,保障能耗kWh,服务窗口起,服务窗口止,说明,悬停点
T007,S005,0.23,109.234897,23.015687,430.3,250.0,0.4015,3917.4,5072.0,单点全程覆盖,
T008,S011->S009,0.2899,109.229043,23.010269,396.7,250.0,0.472,3987.0,5474.1,单点全程覆盖,
T009,S011->S015,0.2582,109.217334,23.004852,430.8,250.0,0.5761,5432.0,7075.5,单点全程覆盖,
T010,S001->S014,0.2794,109.270022,23.010269,589.8,250.0,0.704,5834.1,7683.3,单点全程覆盖,
T011,S005->S015,0.32,109.205626,23.026523,632.0,250.0,0.6985,7435.5,9321.5,单点全程覆盖,
T012,S005->S009,0.4432,109.234897,23.015687,430.3,250.0,0.5321,8043.3,9625.0,单点全程覆盖,
T013,S004->S008,0.4661,109.240751,23.064448,508.1,250.0,0.7908,9681.5,11651.4,单点全程覆盖,
T014,S005->S003,0.447,109.205626,23.026523,632.0,250.0,0.7951,9985.0,12187.1,单点全程覆盖,
T015,S007->S002,0.4216,109.223188,23.037359,505.3,250.0,0.7704,12011.4,14136.2,单点全程覆盖,
T016,S001->S008,0.3713,109.205626,23.042777,674.7,250.0,0.7052,12547.1,14356.2,单点全程覆盖,
T017,S006->S003,0.3917,109.205626,23.021105,572.8,250.0,0.713,14496.2,16455.2,单点全程覆盖,
T018,S004,0.2776,109.229043,23.064448,490.2,250.0,0.6632,14716.2,16278.3,单点全程覆盖,
T019,S003,0.4247,109.21148,23.021105,510.7,250.0,0.6061,16638.3,18286.7,单点全程覆盖,
T020,S001->S002,0.4195,109.223188,23.037359,505.3,250.0,0.6125,16815.2,18423.4,单点全程覆盖,
T021,S002,0.4534,109.223188,23.037359,505.3,250.0,0.5471,18646.7,20040.6,单点全程覆盖,
T022,S004->S008,0.4661,109.240751,23.064448,508.1,250.0,0.8091,18813.4,20813.3,单点全程覆盖,
T023,S003,0.4247,109.21148,23.021105,510.7,250.0,0.6245,20606.8,22285.2,单点全程覆盖,
T024,S001->S002,0.4195,109.223188,23.037359,505.3,250.0,0.6125,21173.3,22781.4,单点全程覆盖,
T025,S001->S002,0.4195,109.223188,23.037359,505.3,250.0,0.6309,22675.2,24313.3,单点全程覆盖,
T026,S007,0.2105,109.21148,23.026523,525.0,250.0,0.4785,23187.2,24389.6,单点全程覆盖,
T027,S010->S007,0.244,,,,,,,,候选点中无单点全程覆盖,—
T028,S013->S012->S002,0.5718,109.275876,23.026523,639.4,250.0,0.8329,24887.0,27054.3,单点全程覆盖,
T029,S005->S004,0.4046,109.229043,23.064448,490.2,250.0,0.734,26987.0,28780.8,单点全程覆盖,
T030,S007->S003->S015,0.4896,109.188063,23.015687,814.3,250.0,0.8001,27444.3,29537.9,单点全程覆盖,
T031,S010,0.2103,109.240751,22.999434,578.4,250.0,0.4263,29140.8,30271.8,单点全程覆盖,
T032,S014,0.3152,109.270022,23.010269,589.8,250.0,0.5793,29897.9,31339.0,单点全程覆盖,
T033,S013->S012,0.4567,109.264168,23.015687,598.3,250.0,0.6538,30938.7,32662.0,单点全程覆盖,
T034,S011->S008,0.3333,109.205626,23.042777,674.7,250.0,0.7138,31843.8,33651.2,单点全程覆盖,
T035,S002->S012->S013,0.569,109.275876,23.026523,639.4,250.0,0.8329,33052.0,35219.3,单点全程覆盖,
