架次编号,机型,服务区,采样点数,直连点数,中继点数,中断点数,直连可达比例,中断占比,需中继
T001,C,S001->S009->S002,714,391,0,323,0.5476,0.4524,True
T002,C,S001->S002,670,394,0,276,0.5881,0.4119,True
T003,B,S013->S012,700,383,0,317,0.5471,0.4529,True
T004,B,S001->S012,715,451,0,264,0.6308,0.3692,True
T005,A,S007,581,470,0,111,0.809,0.191,True
T006,A,S010,552,445,0,107,0.8062,0.1938,True
T007,A,S013,530,433,0,97,0.817,0.183,True
T008,A,S007,581,470,0,111,0.809,0.191,True
T009,A,S010,552,445,0,107,0.8062,0.1938,True
T010,A,S001,350,350,0,0,1.0,0.0,False
T011,B,S014,627,435,0,192,0.6938,0.3062,True
T012,B,S006,329,329,0,0,1.0,0.0,False
T013,C,S001->S009,539,388,0,151,0.7199,0.2801,True
T014,A,S006,381,381,0,0,1.0,0.0,False
T015,C,S011->S015->S007,783,521,0,262,0.6654,0.3346,True
T016,A,S005->S008,871,490,0,381,0.5626,0.4374,True
T017,A,S003,851,489,0,362,0.5746,0.4254,True
T018,A,S004,817,607,0,210,0.743,0.257,True
T019,B,S004,689,505,0,184,0.7329,0.2671,True
T020,A,S008,807,464,0,343,0.575,0.425,True
T021,B,S002,603,334,0,269,0.5539,0.4461,True
T022,C,S006->S003->S007,894,529,0,365,0.5917,0.4083,True
T023,A,S008,807,464,0,343,0.575,0.425,True
T024,A,S015,708,495,0,213,0.6992,0.3008,True
T025,C,S005->S004,779,467,0,312,0.5995,0.4005,True
T026,B,S001,298,298,0,0,1.0,0.0,False
T027,B,S005,484,379,0,105,0.7831,0.2169,True
T028,A,S003,851,489,0,362,0.5746,0.4254,True
