运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T01,中继保障,740.4,7350.0,中继,R01-1
T02,中继保障,740.4,7350.0,中继,R01-1
T03,中继保障,740.4,7350.0,中继,R01-1
T04,中继保障,740.4,7350.0,中继,R01-1
T05,中继保障,740.4,7350.0,中继,R01-1
T06,中继保障,740.4,7350.0,中继,R01-1
T07,中继保障,740.4,7350.0,中继,R01-1
T08,中继保障,740.4,7350.0,中继,R01-1
T09,中继保障,740.4,7350.0,中继,R01-1
T10,中继保障,740.4,7350.0,中继,R01-1
T11,中继保障,740.4,7350.0,中继,R01-1
T12,中继保障,740.4,7350.0,中继,R01-1
T13,中继保障,740.4,7350.0,中继,R01-1
T14,中继保障,740.4,7350.0,中继,R01-1
T15,中继保障,740.4,7350.0,中继,R01-1
T16,中继保障,740.4,7350.0,中继,R01-1
T17,中继保障,740.4,7350.0,中继,R01-1
T18,中继保障,740.4,7350.0,中继,R01-1
T19,中继保障,740.4,7350.0,中继,R01-1
T20,中继保障,740.4,7350.0,中继,R01-1
T21,中继保障,740.4,7350.0,中继,R01-1
T22,中继保障,740.4,7350.0,中继,R01-1
T23,中继保障,740.4,7350.0,中继,R01-1
T01,中继保障,653.2,3400.0,中继,R02-1
T02,中继保障,653.2,3400.0,中继,R02-1
T03,中继保障,653.2,3400.0,中继,R02-1
T04,中继保障,653.2,3400.0,中继,R02-1
T05,中继保障,653.2,3400.0,中继,R02-1
T06,中继保障,653.2,3400.0,中继,R02-1
T07,中继保障,653.2,3400.0,中继,R02-1
T08,中继保障,653.2,3400.0,中继,R02-1
T09,中继保障,653.2,3400.0,中继,R02-1
T11,中继保障,653.2,3400.0,中继,R02-1
T12,中继保障,653.2,3400.0,中继,R02-1
T17,中继保障,653.2,3400.0,中继,R02-1
T21,中继保障,653.2,3400.0,中继,R02-1
T22,中继保障,653.2,3400.0,中继,R02-1
T23,中继保障,653.2,3400.0,中继,R02-1
T10,中继保障,4921.4,6900.0,中继,R02-2
T13,中继保障,4921.4,6900.0,中继,R02-2
T14,中继保障,4921.4,6900.0,中继,R02-2
T15,中继保障,4921.4,6900.0,中继,R02-2
T16,中继保障,4921.4,6900.0,中继,R02-2
T17,中继保障,4921.4,6900.0,中继,R02-2
T18,中继保障,4921.4,6900.0,中继,R02-2
T19,中继保障,4921.4,6900.0,中继,R02-2
T20,中继保障,4921.4,6900.0,中继,R02-2
