架次编号,时刻（s）,阶段,状态
T01,2203.9,climb,直连
T01,2204.15,climb,直连
T01,2204.4,climb,直连
T01,2204.649,climb,直连
T01,2204.899,climb,直连
T01,2205.149,climb,直连
T01,2205.399,climb,直连
T01,2205.649,climb,直连
T01,2205.899,climb,直连
T01,2206.148,climb,直连
T01,2206.398,climb,直连
T01,2206.648,climb,直连
T01,2206.898,climb,直连
T01,2207.148,climb,直连
T01,2207.397,climb,直连
T01,2207.647,climb,直连
T01,2207.897,climb,直连
T01,2208.147,climb,直连
T01,2208.397,climb,直连
T01,2208.646,climb,直连
T01,2208.896,climb,直连
T01,2209.146,climb,直连
T01,2209.396,climb,直连
T01,2209.646,climb,直连
T01,2209.896,climb,直连
T01,2210.145,climb,直连
T01,2210.395,climb,直连
T01,2210.645,climb,直连
T01,2210.895,climb,直连
T01,2211.145,climb,直连
T01,2211.394,climb,直连
T01,2211.644,climb,直连
T01,2211.894,climb,直连
T01,2212.144,climb,直连
T01,2212.394,climb,直连
T01,2212.644,climb,直连
T01,2212.893,climb,直连
T01,2213.143,climb,直连
T01,2213.393,climb,直连
T01,2213.643,climb,直连
T01,2213.893,climb,直连
T01,2214.142,climb,直连
T01,2214.392,climb,直连
T01,2214.642,climb,直连
T01,2214.892,climb,直连
T01,2215.142,climb,直连
T01,2215.391,climb,直连
T01,2215.641,climb,直连
T01,2215.891,climb,直连
T01,2216.141,climb,直连
T01,2216.391,climb,直连
T01,2216.641,climb,直连
T01,2216.89,climb,直连
T01,2217.14,climb,直连
T01,2217.39,climb,直连
T01,2217.64,climb,直连
T01,2217.89,climb,直连
T01,2218.139,climb,直连
T01,2218.389,climb,直连
T01,2218.639,climb,直连
T01,2218.889,climb,直连
T01,2219.139,climb,直连
T01,2219.388,climb,直连
T01,2219.638,climb,直连
T01,2219.888,climb,直连
T01,2220.138,climb,直连
T01,2220.388,climb,直连
T01,2220.638,climb,直连
T01,2220.887,climb,直连
T01,2221.137,climb,直连
T01,2221.387,climb,直连
T01,2221.637,climb,直连
T01,2221.887,climb,直连
T01,2222.136,climb,直连
T01,2222.386,climb,直连
T01,2222.636,climb,直连
T01,2222.886,climb,直连
T01,2223.136,climb,直连
T01,2223.386,climb,直连
T01,2223.635,climb,直连
T01,2223.885,climb,直连
T01,2224.135,climb,直连
T01,2224.385,climb,直连
T01,2224.635,climb,直连
T01,2224.884,climb,直连
T01,2225.134,climb,直连
T01,2225.384,climb,直连
T01,2225.634,climb,直连
T01,2225.884,climb,直连
T01,2226.133,climb,直连
T01,2226.383,climb,直连
T01,2226.633,climb,直连
T01,2226.883,climb,直连
T01,2227.133,climb,直连
T01,2227.383,climb,直连
T01,2227.632,climb,直连
T01,2227.882,climb,直连
T01,2228.132,climb,直连
T01,2228.382,climb,直连
T01,2228.632,climb,直连
T01,2228.881,climb,直连
T01,2229.131,climb,直连
T01,2229.381,climb,直连
T01,2229.631,climb,直连
T01,2229.881,climb,直连
T01,2230.131,climb,直连
T01,2230.38,climb,直连
T01,2230.63,climb,直连
T01,2230.88,climb,直连
T01,2231.13,climb,直连
T01,2231.38,climb,直连
T01,2231.629,climb,直连
T01,2231.879,climb,直连
T01,2232.129,climb,直连
T01,2232.379,climb,直连
T01,2232.629,climb,直连
T01,2232.878,climb,直连
T01,2233.128,climb,直连
T01,2233.378,climb,直连
T01,2233.628,climb,直连
T01,2233.878,climb,直连
T01,2234.128,climb,直连
T01,2234.377,climb,直连
T01,2234.627,climb,直连
T01,2234.877,climb,直连
T01,2235.127,climb,直连
T01,2235.377,climb,直连
T01,2235.626,climb,直连
T01,2235.876,climb,直连
T01,2236.126,climb,直连
T01,2236.376,climb,直连
T01,2236.626,climb,直连
T01,2236.876,climb,直连
T01,2237.125,climb,直连
T01,2237.375,climb,直连
T01,2237.625,climb,直连
T01,2237.875,climb,直连
T01,2238.125,climb,直连
T01,2238.374,climb,直连
T01,2238.624,climb,直连
T01,2238.874,climb,直连
T01,2239.124,climb,直连
T01,2239.374,climb,直连
T01,2239.623,climb,直连
T01,2239.873,climb,直连
T01,2240.123,climb,直连
T01,2240.373,climb,直连
T01,2240.623,climb,直连
T01,2240.873,climb,直连
T01,2241.122,climb,直连
T01,2241.372,climb,直连
T01,2241.622,climb,直连
T01,2241.872,climb,直连
T01,2242.122,climb,直连
T01,2242.371,climb,直连
T01,2242.621,climb,直连
T01,2242.871,climb,直连
T01,2243.121,climb,直连
T01,2243.371,climb,直连
T01,2243.62,climb,直连
T01,2243.87,climb,直连
T01,2244.12,climb,直连
T01,2244.37,climb,直连
T01,2244.62,climb,直连
T01,2244.87,climb,直连
T01,2245.119,climb,直连
T01,2245.369,climb,直连
T01,2245.619,climb,直连
T01,2245.869,climb,直连
T01,2246.119,climb,直连
T01,2246.368,climb,直连
T01,2246.618,climb,直连
T01,2246.868,climb,直连
T01,2247.118,climb,直连
T01,2247.368,climb,直连
T01,2247.618,climb,直连
T01,2247.867,climb,直连
T01,2248.117,climb,直连
T01,2248.367,climb,直连
T01,2248.617,climb,直连
T01,2248.867,climb,直连
T01,2249.116,climb,直连
T01,2249.366,climb,直连
T01,2249.616,climb,直连
T01,2249.866,climb,直连
T01,2250.116,climb,直连
T01,2250.365,climb,直连
T01,2250.615,climb,直连
T01,2250.865,climb,直连
T01,2251.115,climb,直连
T01,2251.365,climb,直连
T01,2251.615,climb,直连
T01,2251.864,climb,直连
T01,2252.114,climb,直连
T01,2252.364,climb,直连
T01,2252.614,climb,直连
T01,2252.864,climb,直连
T01,2253.113,climb,直连
T01,2253.363,climb,直连
T01,2253.613,climb,直连
T01,2253.863,climb,直连
T01,2254.113,climb,直连
T01,2254.363,climb,直连
T01,2254.612,climb,直连
T01,2254.862,climb,直连
T01,2255.112,climb,直连
T01,2255.362,climb,直连
T01,2255.612,climb,直连
T01,2255.861,climb,直连
T01,2256.111,climb,直连
T01,2256.361,climb,直连
T01,2256.611,climb,直连
T01,2256.861,climb,直连
T01,2257.11,climb,直连
T01,2257.36,climb,直连
T01,2257.61,climb,直连
T01,2257.86,climb,直连
T01,2258.11,climb,直连
T01,2258.36,climb,直连
T01,2258.609,climb,直连
T01,2258.859,climb,直连
T01,2259.109,climb,直连
T01,2259.359,climb,直连
T01,2259.609,climb,直连
T01,2259.858,climb,直连
T01,2260.108,climb,直连
T01,2260.358,climb,直连
T01,2260.608,climb,直连
T01,2260.858,climb,直连
T01,2261.108,climb,直连
T01,2261.357,climb,直连
T01,2261.607,climb,直连
T01,2261.857,climb,直连
T01,2262.107,climb,直连
T01,2262.357,climb,直连
T01,2262.606,climb,直连
T01,2262.856,climb,直连
T01,2263.106,climb,直连
T01,2263.356,climb,直连
T01,2263.606,climb,直连
T01,2263.855,climb,直连
T01,2264.105,climb,直连
T01,2264.355,climb,直连
T01,2264.605,climb,直连
T01,2264.855,climb,直连
T01,2265.105,climb,直连
T01,2265.354,climb,直连
T01,2265.604,climb,直连
T01,2265.854,climb,直连
T01,2266.104,climb,直连
T01,2266.354,climb,直连
T01,2266.603,climb,直连
T01,2266.853,climb,直连
T01,2267.103,climb,直连
T01,2267.353,climb,直连
T01,2267.603,climb,直连
T01,2267.852,climb,直连
T01,2268.102,climb,直连
T01,2268.352,climb,直连
T01,2268.602,climb,直连
T01,2268.852,climb,直连
T01,2269.102,climb,直连
T01,2269.351,climb,直连
T01,2269.601,climb,直连
T01,2269.851,climb,直连
T01,2270.101,climb,直连
T01,2270.351,climb,直连
T01,2270.6,climb,直连
T01,2270.85,climb,直连
T01,2271.1,climb,直连
T01,2271.35,climb,直连
T01,2271.6,climb,直连
T01,2271.85,climb,直连
T01,2272.099,climb,直连
T01,2272.349,climb,直连
T01,2272.599,climb,直连
T01,2272.849,climb,直连
T01,2273.099,climb,直连
T01,2273.348,climb,直连
T01,2273.598,climb,直连
T01,2273.848,climb,直连
T01,2274.098,climb,直连
T01,2274.348,climb,直连
T01,2274.597,climb,直连
T01,2274.847,climb,直连
T01,2275.097,climb,直连
T01,2275.347,climb,直连
T01,2275.597,climb,直连
T01,2275.847,climb,直连
T01,2276.096,climb,直连
T01,2276.346,climb,直连
T01,2276.596,climb,直连
T01,2276.846,climb,直连
T01,2277.096,climb,直连
T01,2277.345,climb,直连
T01,2277.595,climb,直连
T01,2277.845,climb,直连
T01,2278.095,climb,直连
T01,2278.345,climb,直连
T01,2278.595,climb,直连
T01,2278.844,climb,直连
T01,2279.094,climb,直连
T01,2279.344,climb,直连
T01,2279.594,climb,直连
T01,2279.844,climb,直连
T01,2280.093,climb,直连
T01,2280.343,climb,直连
T01,2280.593,climb,直连
T01,2280.843,climb,直连
T01,2281.093,climb,直连
T01,2281.342,climb,直连
T01,2281.592,climb,直连
T01,2281.842,climb,直连
T01,2282.092,climb,直连
T01,2282.342,climb,直连
T01,2282.592,climb,直连
T01,2282.841,climb,直连
T01,2283.091,climb,直连
T01,2283.341,climb,直连
T01,2283.591,climb,直连
T01,2283.841,climb,直连
T01,2284.09,climb,直连
T01,2284.34,climb,直连
T01,2284.59,climb,直连
T01,2284.84,climb,直连
T01,2285.09,climb,直连
T01,2285.34,climb,直连
T01,2285.589,climb,直连
T01,2285.839,climb,直连
T01,2286.089,climb,直连
T01,2286.339,climb,直连
T01,2286.589,climb,直连
T01,2286.838,climb,直连
T01,2287.088,climb,直连
T01,2287.338,climb,直连
T01,2287.588,climb,直连
T01,2287.838,climb,直连
T01,2288.087,climb,直连
T01,2288.337,climb,直连
T01,2288.587,climb,直连
T01,2288.837,climb,直连
T01,2289.087,climb,直连
T01,2289.337,climb,直连
T01,2289.586,climb,直连
T01,2289.836,climb,直连
T01,2290.086,climb,直连
T01,2290.336,climb,直连
T01,2290.586,climb,直连
T01,2290.835,climb,直连
T01,2291.085,climb,直连
T01,2291.335,climb,直连
T01,2291.585,climb,直连
T01,2291.835,climb,直连
T01,2292.084,climb,直连
T01,2292.334,climb,直连
T01,2292.584,climb,直连
T01,2292.834,climb,直连
T01,2293.084,climb,直连
T01,2293.334,climb,直连
T01,2293.583,climb,直连
T01,2293.833,climb,直连
T01,2294.083,climb,直连
T01,2294.333,climb,直连
T01,2294.583,climb,直连
T01,2294.832,climb,直连
T01,2295.082,climb,直连
T01,2295.332,climb,直连
T01,2295.582,climb,直连
T01,2295.832,climb,直连
T01,2296.082,climb,直连
T01,2296.331,climb,直连
T01,2296.581,climb,直连
T01,2296.831,climb,直连
T01,2297.081,climb,直连
T01,2297.331,climb,直连
T01,2297.58,climb,直连
T01,2297.83,climb,直连
T01,2298.08,climb,直连
T01,2298.33,climb,直连
T01,2298.58,climb,直连
T01,2298.829,climb,直连
T01,2299.079,climb,直连
T01,2299.329,climb,直连
T01,2299.579,climb,直连
