类型,编号,机型/实体机,电池/组件,服务区,货箱数,起飞（s）,返回（s）,能耗（kWh）,返航SOC（%）
运输,T01,B/U06,BB01,S010,3,0.0,1555.4,1.8232,54.42
运输,T02,B/U05,BB03,S002,3,1943.0,3763.0,2.71475,32.13
运输,T03,C/U08,BC04,S001,7,0.0,1560.2,2.91758,63.53
运输,T04,C/U08,BC03,S001,8,1560.2,3186.4,2.99577,62.55
运输,T05,A/U04,BA06,S013,2,2196.2,3798.9,1.95413,56.57
运输,T06,B/U06,BB02,S014,3,1555.4,3401.1,2.13077,46.73
运输,T07,A/U03,BA06,S006,2,0.0,1316.9,1.31294,70.82
运输,T08,C/U07,BC02,S002,5,1433.8,3479.7,5.7229,28.46
运输,T09,B/U05,BB04,S012,3,0.0,1943.0,2.7605,30.99
运输,T10,B/U06,BB02,S013,1,4991.1,6372.1,1.51227,62.19
运输,T11,A/U04,BA04,S008,2,0.0,2163.3,3.19673,28.96
运输,T12,C/U07,BC01,S006,4,0.0,1433.7,2.32941,70.88
运输,T13,B/U05,BB04,S003,3,3805.9,5886.4,2.77992,30.5
运输,T14,C/U08,BC03,S004,6,5244.5,7545.6,6.15293,23.09
运输,T15,C/U07,BC04,S003,5,3479.7,5849.8,5.76497,27.94
运输,T16,B/U06,BB01,S011,3,6534.7,7723.1,1.07395,73.15
运输,T17,C/U08,BC01,S008,3,3186.4,5244.5,5.3981,32.52
运输,T18,C/U07,BC02,S005,6,5863.0,7740.2,4.22219,47.22
运输,T19,B/U05,BB03,S015,3,5886.5,7714.8,2.30745,42.31
运输,T20,B/U06,BB01,S009,3,3401.1,4959.5,2.09623,47.59
运输,T21,A/U02,BA03,S007,1,0.0,1652.5,1.86664,58.52
运输,T22,A/U01,BA02,S007,2,1712.6,3425.1,1.9647,56.34
运输,T23,A/U01,BA01,S007,2,0.0,1712.5,1.82174,59.52
中继,R01-1,R/R01,ER01,G2-3,0,0.0,7939.3,2.30841,27.86
中继,R02-1,R/R02,ER02,S010,0,0.0,3884.6,1.08728,66.02
中继,R02-2,R/R02,ER03,G4-4,0,4184.6,7463.1,0.91036,71.55
