中继架次编号,运输架次编号,重叠起（s）,重叠止（s）,重叠时长（s）
R01-1,T01,1813.9,3364.9,1551.0
R01-1,T02,740.4,1813.9,1073.5
R01-1,T03,1490.7,3529.1,2038.4
R01-1,T04,740.4,1490.7,750.3
R01-1,T05,740.4,1688.7,948.3
R01-1,T06,740.4,1602.7,862.3
R01-1,T07,740.4,1861.1,1120.7
R01-1,T08,740.4,1316.9,576.5
R01-1,T09,1861.1,3783.9,1922.8
R01-1,T10,3453.6,4834.6,1381.0
R01-1,T11,740.4,2163.3,1422.9
R01-1,T12,1688.7,3122.4,1433.7
R01-1,T13,3783.9,5050.0,1266.1
R01-1,T15,3529.1,5050.0,1520.9
R01-1,T17,3134.9,5050.0,1915.1
R01-1,T19,4834.6,5050.0,215.4
R01-1,T21,740.4,1652.5,912.2
R01-1,T22,1652.5,3365.0,1712.5
R01-1,T23,1602.7,3315.2,1712.5
R02-1,T01,1813.9,3364.9,1551.0
R02-1,T02,653.2,1813.9,1160.7
R02-1,T03,1490.7,3400.0,1909.3
R02-1,T04,653.2,1490.7,837.5
R02-1,T05,653.2,1688.7,1035.5
R02-1,T06,653.2,1602.7,949.5
R02-1,T07,653.2,1861.1,1207.9
R02-1,T08,653.2,1316.9,663.7
R02-1,T09,1861.1,3400.0,1538.9
R02-1,T11,653.2,2163.3,1510.1
R02-1,T12,1688.7,3122.4,1433.7
R02-1,T17,3134.9,3400.0,265.1
R02-1,T21,653.2,1652.5,999.4
R02-1,T22,1652.5,3365.0,1712.5
R02-1,T23,1602.7,3315.2,1712.5
R02-2,T13,4921.4,5852.3,930.9
R02-2,T14,5193.0,7548.3,2355.3
R02-2,T15,4921.4,5830.6,909.2
R02-2,T16,6658.1,7600.0,941.9
R02-2,T17,4921.4,5193.0,271.6
R02-2,T18,5911.5,7600.0,1688.5
R02-2,T19,4921.4,6658.1,1736.7
R02-2,T20,6156.6,7600.0,1443.4
R01-2,T14,6679.7,7200.0,520.3
R01-2,T16,6679.7,7200.0,520.3
R01-2,T18,6679.7,7200.0,520.3
R01-2,T20,6679.7,7200.0,520.3
