架次编号,时刻（s）,阶段,状态,链路裕量（dB）
T01,2203.9,climb,直连,45.925
T01,2204.897,climb,直连,57.332
T01,2205.894,climb,直连,59.011
T01,2206.89,climb,直连,61.095
T01,2207.887,climb,直连,63.842
T01,2208.884,climb,直连,67.884
T01,2209.881,climb,直连,75.679
T01,2210.878,climb,直连,82.548
T01,2211.874,climb,直连,70.073
T01,2212.871,climb,直连,65.151
T01,2213.868,climb,直连,62.029
T01,2214.865,climb,直连,59.738
T01,2215.862,climb,直连,57.926
T01,2216.859,climb,直连,56.428
T01,2217.855,climb,直连,55.15
T01,2218.852,climb,直连,54.037
T01,2219.849,climb,直连,53.05
T01,2220.846,climb,直连,52.164
T01,2221.843,climb,直连,51.36
T01,2222.839,climb,直连,50.625
T01,2223.836,climb,直连,49.946
T01,2224.833,climb,直连,49.317
T01,2225.83,climb,直连,48.73
T01,2226.827,climb,直连,48.181
T01,2227.823,climb,直连,47.664
T01,2228.82,climb,直连,47.176
T01,2229.817,climb,直连,46.715
T01,2230.814,climb,直连,46.276
T01,2231.811,climb,直连,45.859
T01,2232.807,climb,直连,45.46
T01,2233.804,climb,直连,45.08
T01,2234.801,climb,直连,44.715
T01,2235.798,climb,直连,44.365
T01,2236.795,climb,直连,44.028
T01,2237.791,climb,直连,43.704
T01,2238.788,climb,直连,43.392
T01,2239.785,climb,直连,43.09
T01,2240.782,climb,直连,42.799
T01,2241.779,climb,直连,42.517
T01,2242.776,climb,直连,42.244
T01,2243.772,climb,直连,41.979
T01,2244.769,climb,直连,41.722
T01,2245.766,climb,直连,41.473
T01,2246.763,climb,直连,41.23
T01,2247.76,climb,直连,40.994
T01,2248.756,climb,直连,40.764
T01,2249.753,climb,直连,40.541
T01,2250.75,climb,直连,40.322
T01,2251.747,climb,直连,40.11
T01,2252.744,climb,直连,39.902
T01,2253.74,climb,直连,39.699
T01,2254.737,climb,直连,39.501
T01,2255.734,climb,直连,39.307
T01,2256.731,climb,直连,39.117
T01,2257.728,climb,直连,38.932
T01,2258.724,climb,直连,38.75
T01,2259.721,climb,直连,38.572
T01,2260.718,climb,直连,38.398
T01,2261.715,climb,直连,38.227
T01,2262.712,climb,直连,38.059
T01,2263.709,climb,直连,37.895
T01,2264.705,climb,直连,37.733
T01,2265.702,climb,直连,37.575
T01,2266.699,climb,直连,37.419
T01,2267.696,climb,直连,37.266
T01,2268.693,climb,直连,37.116
T01,2269.689,climb,直连,36.968
T01,2270.686,climb,直连,36.823
T01,2271.683,climb,直连,36.68
T01,2272.68,climb,直连,36.54
T01,2273.677,climb,直连,36.401
T01,2274.673,climb,直连,36.265
T01,2275.67,climb,直连,36.131
T01,2276.667,climb,直连,35.999
T01,2277.664,climb,直连,35.869
T01,2278.661,climb,直连,35.741
T01,2279.657,climb,直连,35.615
T01,2280.654,climb,直连,35.491
T01,2281.651,climb,直连,35.368
T01,2282.648,climb,直连,35.247
T01,2283.645,climb,直连,35.128
T01,2284.641,climb,直连,35.01
T01,2285.638,climb,直连,34.894
T01,2286.635,climb,直连,34.779
T01,2287.632,climb,直连,34.666
T01,2288.629,climb,直连,34.555
T01,2289.626,climb,直连,34.444
T01,2290.622,climb,直连,34.336
T01,2291.619,climb,直连,34.228
T01,2292.616,climb,直连,34.122
T01,2293.613,climb,直连,34.017
T01,2294.61,climb,直连,33.913
T01,2295.606,climb,直连,33.811
T01,2296.603,climb,直连,33.71
T01,2297.6,climb,直连,33.61
T01,2298.597,climb,直连,33.511
T01,2299.594,climb,直连,33.413
T01,2300.59,climb,直连,33.316
T01,2301.587,climb,直连,33.221
T01,2302.584,climb,直连,33.126
T01,2303.581,climb,直连,33.032
T01,2304.578,climb,直连,32.94
T01,2305.574,climb,直连,32.848
T01,2305.574,cruise,直连,32.848
T01,2306.574,cruise,直连,32.836
T01,2307.574,cruise,直连,32.8
T01,2308.574,cruise,直连,32.741
T01,2309.573,cruise,直连,32.66
T01,2310.573,cruise,直连,32.557
T01,2311.573,cruise,直连,32.435
T01,2312.572,cruise,直连,32.296
T01,2313.572,cruise,直连,32.14
T01,2314.572,cruise,直连,31.969
T01,2315.572,cruise,直连,31.787
T01,2316.571,cruise,直连,31.593
T01,2317.571,cruise,直连,31.391
T01,2318.571,cruise,直连,31.181
T01,2319.57,cruise,直连,30.965
T01,2320.57,cruise,直连,30.745
T01,2321.57,cruise,直连,30.521
T01,2322.57,cruise,直连,30.295
T01,2323.569,cruise,直连,30.067
T01,2324.569,cruise,直连,29.839
T01,2325.569,cruise,直连,29.61
T01,2326.568,cruise,直连,29.382
T01,2327.568,cruise,直连,29.155
T01,2328.568,cruise,直连,28.93
T01,2329.568,cruise,直连,28.707
T01,2330.567,cruise,直连,28.485
T01,2331.567,cruise,直连,28.266
T01,2332.567,cruise,直连,28.05
T01,2333.566,cruise,直连,27.836
T01,2334.566,cruise,直连,27.625
T01,2335.566,cruise,直连,27.417
T01,2336.565,cruise,直连,27.212
T01,2337.565,cruise,直连,27.01
T01,2338.565,cruise,直连,26.811
T01,2339.565,cruise,直连,26.614
T01,2340.564,cruise,直连,26.421
T01,2341.564,cruise,直连,26.231
T01,2342.564,cruise,直连,26.044
T01,2343.563,cruise,直连,25.86
T01,2344.563,cruise,直连,25.678
T01,2345.563,cruise,直连,25.5
T01,2346.563,cruise,直连,25.324
T01,2347.562,cruise,直连,25.151
T01,2348.562,cruise,直连,24.98
T01,2349.562,cruise,直连,24.813
T01,2350.561,cruise,直连,24.648
T01,2351.561,cruise,直连,24.485
T01,2352.561,cruise,直连,24.325
T01,2353.561,cruise,直连,24.167
T01,2354.56,cruise,直连,24.012
T01,2355.56,cruise,直连,23.859
T01,2356.56,cruise,直连,23.709
T01,2357.559,cruise,直连,23.56
T01,2358.559,cruise,直连,23.414
T01,2359.559,cruise,直连,23.27
T01,2360.559,cruise,直连,23.128
T01,2361.558,cruise,直连,22.988
T01,2362.558,cruise,直连,22.849
T01,2363.558,cruise,直连,22.713
T01,2364.557,cruise,直连,22.579
T01,2365.557,cruise,直连,22.446
T01,2366.557,cruise,直连,22.316
T01,2367.557,cruise,直连,22.187
T01,2368.556,cruise,直连,22.06
T01,2369.556,cruise,直连,21.934
T01,2370.556,cruise,直连,21.81
T01,2371.555,cruise,直连,21.688
T01,2372.555,cruise,直连,21.567
T01,2373.555,cruise,直连,21.448
T01,2374.554,cruise,直连,21.33
T01,2375.554,cruise,直连,21.214
T01,2376.554,cruise,直连,21.099
T01,2377.554,cruise,直连,20.986
T01,2378.553,cruise,直连,20.873
T01,2379.553,cruise,直连,20.763
T01,2380.553,cruise,直连,20.653
T01,2381.552,cruise,直连,20.545
T01,2382.552,cruise,直连,20.438
T01,2383.552,cruise,直连,20.332
T01,2384.552,cruise,直连,20.228
T01,2385.551,cruise,直连,20.124
T01,2386.551,cruise,直连,20.022
T01,2387.551,cruise,直连,19.921
T01,2388.55,cruise,直连,19.821
T01,2389.55,cruise,直连,19.722
T01,2390.55,cruise,直连,19.624
T01,2391.55,cruise,直连,19.528
T01,2392.549,cruise,直连,19.432
T01,2393.549,cruise,直连,19.337
T01,2394.549,cruise,直连,19.243
T01,2395.548,cruise,直连,19.15
T01,2396.548,cruise,直连,19.058
T01,2397.548,cruise,直连,18.967
T01,2398.548,cruise,直连,18.877
T01,2399.547,cruise,直连,18.788
T01,2400.547,cruise,直连,18.7
T01,2401.547,cruise,直连,18.612
T01,2402.546,cruise,直连,18.526
T01,2403.546,cruise,直连,18.44
T01,2404.546,cruise,直连,18.355
T01,2405.546,cruise,直连,18.271
T01,2406.545,cruise,直连,18.187
T01,2407.545,cruise,直连,18.104
T01,2408.545,cruise,直连,18.023
T01,2409.544,cruise,直连,17.941
T01,2410.544,cruise,直连,17.861
T01,2411.544,cruise,直连,17.781
T01,2412.543,cruise,直连,17.702
T01,2413.543,cruise,直连,17.624
T01,2414.543,cruise,直连,17.546
T01,2415.543,cruise,直连,17.469
T01,2416.542,cruise,直连,17.393
T01,2417.542,cruise,直连,17.317
T01,2418.542,cruise,直连,17.242
T01,2419.541,cruise,直连,17.168
T01,2420.541,cruise,直连,17.094
T01,2421.541,cruise,直连,17.02
T01,2422.541,cruise,直连,16.948
T01,2423.54,cruise,直连,16.876
T01,2424.54,cruise,直连,16.804
T01,2425.54,cruise,直连,16.733
T01,2426.539,cruise,直连,6.663
T01,2427.539,cruise,直连,6.593
T01,2428.539,cruise,直连,6.524
T01,2429.539,cruise,直连,6.455
T01,2430.538,cruise,直连,6.387
T01,2431.538,cruise,直连,6.32
T01,2432.538,cruise,直连,6.252
T01,2433.537,cruise,直连,6.186
T01,2434.537,cruise,直连,6.12
T01,2435.537,cruise,直连,6.054
T01,2436.537,cruise,直连,5.989
T01,2437.536,cruise,直连,5.924
T01,2438.536,cruise,直连,5.86
T01,2439.536,cruise,直连,5.796
T01,2440.535,cruise,直连,5.733
T01,2441.535,cruise,直连,5.67
T01,2442.535,cruise,直连,5.608
T01,2443.535,cruise,直连,5.546
T01,2444.534,cruise,直连,5.484
T01,2445.534,cruise,直连,5.423
T01,2446.534,cruise,直连,5.362
T01,2447.533,cruise,直连,5.302
T01,2448.533,cruise,直连,5.242
T01,2449.533,cruise,直连,5.182
T01,2450.532,cruise,直连,5.123
T01,2451.532,cruise,直连,5.065
T01,2452.532,cruise,直连,5.006
T01,2453.532,cruise,直连,4.948
T01,2454.531,cruise,直连,4.891
T01,2455.531,cruise,直连,4.834
T01,2456.531,cruise,直连,4.777
T01,2457.53,cruise,直连,4.72
T01,2458.53,cruise,直连,4.664
T01,2459.53,cruise,直连,4.609
T01,2460.53,cruise,直连,4.553
T01,2461.529,cruise,直连,4.498
T01,2462.529,cruise,直连,4.444
T01,2463.529,cruise,直连,4.389
T01,2464.528,cruise,直连,4.335
T01,2465.528,cruise,直连,4.281
T01,2466.528,cruise,直连,4.228
T01,2467.528,cruise,直连,4.175
T01,2468.527,cruise,直连,4.122
T01,2469.527,cruise,直连,4.07
T01,2470.527,cruise,直连,4.018
T01,2471.526,cruise,直连,3.966
T01,2472.526,cruise,直连,3.915
T01,2473.526,cruise,直连,3.863
T01,2474.526,cruise,直连,3.812
T01,2475.525,cruise,直连,3.762
T01,2476.525,cruise,直连,3.711
T01,2477.525,cruise,直连,3.661
T01,2478.524,cruise,直连,3.612
T01,2479.524,cruise,直连,3.562
T01,2480.524,cruise,直连,3.513
T01,2481.524,cruise,直连,3.464
T01,2482.523,cruise,直连,3.415
T01,2483.523,cruise,直连,3.367
T01,2484.523,cruise,直连,3.319
T01,2485.522,cruise,直连,3.271
T01,2486.522,cruise,直连,3.224
T01,2487.522,cruise,直连,3.176
T01,2488.521,cruise,直连,3.129
T01,2489.521,cruise,直连,3.082
T01,2490.521,cruise,直连,3.036
T01,2491.521,cruise,直连,2.989
T01,2492.52,cruise,直连,2.943
T01,2493.52,cruise,直连,2.897
T01,2494.52,cruise,直连,2.852
T01,2495.519,cruise,直连,2.806
T01,2496.519,cruise,直连,2.761
T01,2497.519,cruise,直连,2.716
T01,2498.519,cruise,直连,2.672
T01,2499.518,cruise,直连,2.627
T01,2500.518,cruise,直连,2.583
T01,2501.518,cruise,直连,2.539
T01,2502.517,cruise,直连,2.495
T01,2503.517,cruise,直连,2.452
T01,2504.517,cruise,直连,2.408
T01,2505.517,cruise,直连,2.365
T01,2506.516,cruise,直连,2.322
T01,2507.516,cruise,直连,2.279
T01,2508.516,cruise,直连,2.237
T01,2509.515,cruise,直连,2.195
T01,2510.515,cruise,直连,2.153
T01,2511.515,cruise,直连,2.111
T01,2512.515,cruise,直连,2.069
T01,2513.514,cruise,直连,2.027
T01,2514.514,cruise,直连,1.986
T01,2515.514,cruise,直连,1.945
T01,2516.513,cruise,直连,1.904
T01,2517.513,cruise,直连,1.863
T01,2518.513,cruise,直连,1.823
T01,2519.513,cruise,直连,1.782
T01,2520.512,cruise,直连,1.742
T01,2521.512,cruise,直连,1.702
T01,2522.512,cruise,直连,1.662
T01,2523.511,cruise,直连,1.623
T01,2524.511,cruise,直连,1.583
T01,2525.511,cruise,直连,1.544
T01,2526.51,cruise,直连,1.505
T01,2527.51,cruise,直连,1.466
T01,2528.51,cruise,直连,1.427
T01,2529.51,cruise,直连,1.389
T01,2530.509,cruise,直连,1.35
T01,2531.509,cruise,直连,1.312
T01,2532.509,cruise,直连,1.274
T01,2533.508,cruise,直连,1.236
T01,2534.508,cruise,直连,1.198
T01,2535.508,cruise,直连,1.161
T01,2536.508,cruise,直连,1.123
T01,2537.507,cruise,直连,1.086
T01,2538.507,cruise,直连,1.049
T01,2539.507,cruise,直连,1.012
T01,2540.506,cruise,直连,0.975
