服务区编号,箱数,总质量（kg）,总体积（m³）,最好载荷（kg）,最好体积（m³）,质量下界,体积下界,架次数下界,精确DP架次数,与下界差距
S001,15,154.0,0.394,80.0,0.25,2,2,2,2,0
S002,8,81.0,0.211,68.9,0.25,2,1,2,2,0
S003,8,81.0,0.211,68.3,0.25,2,1,2,2,0
S004,6,59.0,0.156,63.7,0.25,1,1,1,1,0
S005,6,59.0,0.156,80.0,0.25,1,1,1,1,0
S006,6,59.0,0.156,80.0,0.25,1,1,1,1,0
S007,5,45.0,0.129,80.0,0.25,1,1,1,1,0
S008,5,45.0,0.129,59.0,0.25,1,1,1,1,0
S009,3,25.0,0.067,80.0,0.25,1,1,1,1,0
S010,3,25.0,0.067,80.0,0.25,1,1,1,1,0
S011,3,25.0,0.067,80.0,0.25,1,1,1,1,0
S012,3,25.0,0.067,68.1,0.25,1,1,1,1,0
S013,3,25.0,0.067,80.0,0.25,1,1,1,1,0
S014,3,25.0,0.067,80.0,0.25,1,1,1,1,0
S015,3,25.0,0.067,80.0,0.25,1,1,1,1,0
