service_id,type_code,rho,max_payload_kg
S001,A,0.0,25.0
S001,A,0.025,25.0
S001,A,0.05,25.0
S001,A,0.075,25.0
S001,A,0.1,25.0
S001,A,0.125,25.0
S001,A,0.15,25.0
S001,A,0.175,25.0
S001,A,0.2,25.0
S001,A,0.225,25.0
S001,A,0.25,25.0
S001,A,0.275,25.0
S001,A,0.3,25.0
S001,A,0.325,25.0
S001,A,0.35,25.0
S001,A,0.375,25.0
S001,A,0.4,25.0
S001,A,0.425,25.0
S001,A,0.45,25.0
S001,A,0.475,25.0
S001,A,0.5,25.0
S002,A,0.0,25.0
S002,A,0.025,25.0
S002,A,0.05,25.0
S002,A,0.075,25.0
S002,A,0.1,25.0
S002,A,0.125,25.0
S002,A,0.15,25.0
S002,A,0.175,25.0
S002,A,0.2,25.0
S002,A,0.225,25.0
S002,A,0.25,25.0
S002,A,0.275,25.0
S002,A,0.3,25.0
S002,A,0.325,22.8818
S002,A,0.35,17.3533
S002,A,0.375,9.6498
S002,A,0.4,0.0
S002,A,0.425,0.0
S002,A,0.45,0.0
S002,A,0.475,0.0
S002,A,0.5,0.0
S003,A,0.0,25.0
S003,A,0.025,25.0
S003,A,0.05,25.0
S003,A,0.075,25.0
S003,A,0.1,25.0
S003,A,0.125,25.0
S003,A,0.15,25.0
S003,A,0.175,25.0
S003,A,0.2,25.0
S003,A,0.225,25.0
S003,A,0.25,25.0
S003,A,0.275,25.0
S003,A,0.3,24.9473
S003,A,0.325,20.1286
S003,A,0.35,13.9084
S003,A,0.375,4.5818
S003,A,0.4,0.0
S003,A,0.425,0.0
S003,A,0.45,0.0
S003,A,0.475,0.0
S003,A,0.5,0.0
S004,A,0.0,25.0
S004,A,0.025,25.0
S004,A,0.05,25.0
S004,A,0.075,25.0
S004,A,0.1,25.0
S004,A,0.125,25.0
S004,A,0.15,25.0
S004,A,0.175,25.0
S004,A,0.2,25.0
S004,A,0.225,25.0
S004,A,0.25,25.0
S004,A,0.275,24.8383
S004,A,0.3,20.164
S004,A,0.325,14.128
S004,A,0.35,5.0571
S004,A,0.375,0.0
S004,A,0.4,0.0
S004,A,0.425,0.0
S004,A,0.45,0.0
S004,A,0.475,0.0
S004,A,0.5,0.0
S005,A,0.0,25.0
S005,A,0.025,25.0
S005,A,0.05,25.0
S005,A,0.075,25.0
S005,A,0.1,25.0
S005,A,0.125,25.0
S005,A,0.15,25.0
S005,A,0.175,25.0
S005,A,0.2,25.0
S005,A,0.225,25.0
S005,A,0.25,25.0
S005,A,0.275,25.0
S005,A,0.3,25.0
S005,A,0.325,25.0
S005,A,0.35,25.0
S005,A,0.375,25.0
S005,A,0.4,25.0
S005,A,0.425,25.0
S005,A,0.45,25.0
S005,A,0.475,25.0
S005,A,0.5,25.0
S006,A,0.0,25.0
S006,A,0.025,25.0
S006,A,0.05,25.0
S006,A,0.075,25.0
S006,A,0.1,25.0
S006,A,0.125,25.0
S006,A,0.15,25.0
S006,A,0.175,25.0
S006,A,0.2,25.0
S006,A,0.225,25.0
S006,A,0.25,25.0
S006,A,0.275,25.0
S006,A,0.3,25.0
S006,A,0.325,25.0
S006,A,0.35,25.0
S006,A,0.375,25.0
S006,A,0.4,25.0
S006,A,0.425,25.0
S006,A,0.45,25.0
S006,A,0.475,25.0
S006,A,0.5,25.0
S007,A,0.0,25.0
S007,A,0.025,25.0
S007,A,0.05,25.0
S007,A,0.075,25.0
S007,A,0.1,25.0
S007,A,0.125,25.0
S007,A,0.15,25.0
S007,A,0.175,25.0
S007,A,0.2,25.0
S007,A,0.225,25.0
S007,A,0.25,25.0
S007,A,0.275,25.0
S007,A,0.3,25.0
S007,A,0.325,25.0
S007,A,0.35,25.0
S007,A,0.375,25.0
S007,A,0.4,25.0
S007,A,0.425,25.0
S007,A,0.45,25.0
S007,A,0.475,25.0
S007,A,0.5,25.0
S008,A,0.0,25.0
S008,A,0.025,25.0
S008,A,0.05,25.0
S008,A,0.075,25.0
S008,A,0.1,25.0
S008,A,0.125,25.0
S008,A,0.15,25.0
S008,A,0.175,25.0
S008,A,0.2,25.0
S008,A,0.225,25.0
S008,A,0.25,24.6925
S008,A,0.275,20.185
S008,A,0.3,14.4141
S008,A,0.325,5.9649
S008,A,0.35,0.0
S008,A,0.375,0.0
S008,A,0.4,0.0
S008,A,0.425,0.0
S008,A,0.45,0.0
S008,A,0.475,0.0
S008,A,0.5,0.0
S009,A,0.0,25.0
S009,A,0.025,25.0
S009,A,0.05,25.0
S009,A,0.075,25.0
S009,A,0.1,25.0
S009,A,0.125,25.0
S009,A,0.15,25.0
S009,A,0.175,25.0
S009,A,0.2,25.0
S009,A,0.225,25.0
S009,A,0.25,25.0
S009,A,0.275,25.0
S009,A,0.3,25.0
S009,A,0.325,25.0
S009,A,0.35,25.0
S009,A,0.375,25.0
S009,A,0.4,25.0
S009,A,0.425,25.0
S009,A,0.45,25.0
S009,A,0.475,23.7645
S009,A,0.5,16.6764
S010,A,0.0,25.0
S010,A,0.025,25.0
S010,A,0.05,25.0
S010,A,0.075,25.0
S010,A,0.1,25.0
S010,A,0.125,25.0
S010,A,0.15,25.0
S010,A,0.175,25.0
S010,A,0.2,25.0
S010,A,0.225,25.0
S010,A,0.25,25.0
S010,A,0.275,25.0
S010,A,0.3,25.0
S010,A,0.325,25.0
S010,A,0.35,25.0
S010,A,0.375,25.0
S010,A,0.4,25.0
S010,A,0.425,25.0
S010,A,0.45,25.0
S010,A,0.475,25.0
S010,A,0.5,25.0
S011,A,0.0,25.0
S011,A,0.025,25.0
S011,A,0.05,25.0
S011,A,0.075,25.0
S011,A,0.1,25.0
S011,A,0.125,25.0
S011,A,0.15,25.0
S011,A,0.175,25.0
S011,A,0.2,25.0
S011,A,0.225,25.0
S011,A,0.25,25.0
S011,A,0.275,25.0
S011,A,0.3,25.0
S011,A,0.325,25.0
S011,A,0.35,25.0
S011,A,0.375,25.0
S011,A,0.4,25.0
S011,A,0.425,25.0
S011,A,0.45,25.0
S011,A,0.475,25.0
S011,A,0.5,25.0
S012,A,0.0,25.0
S012,A,0.025,25.0
S012,A,0.05,25.0
S012,A,0.075,25.0
S012,A,0.1,25.0
S012,A,0.125,25.0
S012,A,0.15,25.0
S012,A,0.175,25.0
S012,A,0.2,25.0
S012,A,0.225,25.0
S012,A,0.25,25.0
S012,A,0.275,25.0
S012,A,0.3,25.0
S012,A,0.325,21.0547
S012,A,0.35,15.0586
S012,A,0.375,6.2619
S012,A,0.4,0.0
S012,A,0.425,0.0
S012,A,0.45,0.0
S012,A,0.475,0.0
S012,A,0.5,0.0
S013,A,0.0,25.0
S013,A,0.025,25.0
S013,A,0.05,25.0
S013,A,0.075,25.0
S013,A,0.1,25.0
S013,A,0.125,25.0
S013,A,0.15,25.0
S013,A,0.175,25.0
S013,A,0.2,25.0
S013,A,0.225,25.0
S013,A,0.25,25.0
S013,A,0.275,25.0
S013,A,0.3,25.0
S013,A,0.325,25.0
S013,A,0.35,25.0
S013,A,0.375,25.0
S013,A,0.4,25.0
S013,A,0.425,25.0
S013,A,0.45,25.0
S013,A,0.475,25.0
S013,A,0.5,25.0
S014,A,0.0,25.0
S014,A,0.025,25.0
S014,A,0.05,25.0
S014,A,0.075,25.0
S014,A,0.1,25.0
S014,A,0.125,25.0
S014,A,0.15,25.0
S014,A,0.175,25.0
S014,A,0.2,25.0
S014,A,0.225,25.0
S014,A,0.25,25.0
S014,A,0.275,25.0
S014,A,0.3,25.0
S014,A,0.325,25.0
S014,A,0.35,25.0
S014,A,0.375,25.0
S014,A,0.4,25.0
S014,A,0.425,25.0
S014,A,0.45,25.0
S014,A,0.475,21.8401
S014,A,0.5,14.1829
S015,A,0.0,25.0
S015,A,0.025,25.0
S015,A,0.05,25.0
S015,A,0.075,25.0
S015,A,0.1,25.0
S015,A,0.125,25.0
S015,A,0.15,25.0
S015,A,0.175,25.0
S015,A,0.2,25.0
S015,A,0.225,25.0
