电池编号,机型,架次,占用开始（s）,占用结束（s）,返航SOC（%）
BA01,A,T23,1602.7,3315.2,59.52
BA02,A,T22,0.0,1712.5,56.34
BA03,A,T21,1712.5,3365.0,58.52
BA04,A,T11,0.0,2163.3,28.96
BA05,A,T08,0.0,1316.9,70.82
BA06,A,T06,0.0,1602.7,56.57
BB01,B,T02,0.0,1813.9,32.19
BB01,B,T13,3783.9,5852.3,30.63
BB02,B,T07,0.0,1861.1,46.59
BB02,B,T10,3453.6,4834.6,62.19
BB02,B,T20,6156.6,7714.0,47.61
BB03,B,T01,1813.9,3364.9,54.47
BB03,B,T19,4834.6,6658.1,42.36
BB04,B,T09,1861.1,3783.9,31.19
BB04,B,T16,6658.1,7843.2,73.19
BC01,C,T12,1688.7,3122.4,70.88
BC01,C,T14,5193.0,7548.3,28.02
BC02,C,T05,0.0,1688.7,63.55
BC02,C,T15,3529.1,5830.6,23.09
BC03,C,T04,0.0,1490.7,62.57
BC03,C,T17,3134.9,5193.0,32.52
BC04,C,T03,1490.7,3529.1,28.5
BC04,C,T18,5911.5,7786.8,47.23
