架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-B01,0.0,S002→S012,2563.8,6.39651
T002,U08,C,C-B02,0.0,S001→S002,2429.1,5.9659
T003,U01,A,A-B01,0.0,S006→S007,2054.4,2.20346
T004,U05,B,B-B01,0.0,S001→S013,1778.5,1.96602
T005,U06,B,B-B02,0.0,S014,1861.1,2.13643
T006,U02,A,A-B02,0.0,S007,1713.5,1.89948
T007,U03,A,A-B03,0.0,S006,1311.1,1.31031
T008,U04,A,A-B04,0.0,S013→S012,2334.9,2.98356
T009,U03,A,A-B05,1311.1,S004,3490.2,3.08691
T010,U02,A,A-B06,1713.5,S008,3876.3,3.19648
T011,U05,B,B-B03,1778.5,S010,3329.5,1.82113
T012,U06,B,B-B04,1861.1,S006,3065.9,1.2923
T013,U01,A,A-B03,2189.6,S008,4352.4,3.3049
T014,U08,C,C-B03,2429.1,S001,3853.8,2.51962
T015,U07,C,C-B04,2563.8,S001,3856.5,2.01897
T016,U04,A,A-B02,2762.3,S003,5012.8,2.95919
T017,U06,B,B-B01,3297.1,S009→S002,5322.1,2.49745
T018,U05,B,B-B02,3453.5,S011→S001,5014.3,1.48461
T019,U07,C,C-B02,4878.2,S011→S015→S003,7947.7,6.10217
T020,U05,B,B-B03,5014.3,S004,6936.3,3.03546
T021,U08,C,C-B01,5129.5,S007→S003→S006,8102.0,6.11788
T022,U06,B,B-B04,5322.1,S001→S005,7149.7,2.03505
T023,U05,B,B-B02,6936.3,S009,8433.7,1.99976
T024,U06,B,B-B01,7149.7,S005→S008,9303.9,2.60821
T025,U07,C,C-B03,7947.7,S005→S004→S002,10855.1,6.35986
