货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-02,T001,S001,856.3
S002-FOD-02,T001,S002,1433.1
S002-MED-01,T001,S002,1433.1
S010-FOD-01,T002,S010,1023.0
S010-MED-01,T002,S010,1023.0
S001-WAT-07,T007,S001,970.5
S005-WAT-03,T007,S005,1494.0
S007-WAT-01,T007,S007,2225.8
S006-FOD-01,T007,S006,2871.5
S006-HYG-01,T007,S006,2871.5
S001-WAT-06,T008,S001,1000.5
S002-WAT-01,T008,S002,1744.4
S002-FOD-01,T008,S002,1744.4
S002-HYG-01,T008,S002,1744.4
S002-WAT-03,T008,S002,1744.4
S002-WAT-04,T008,S002,1744.4
S012-FOD-01,T003,S012,2762.3
S012-MED-01,T003,S012,2762.3
S012-WAT-01,T003,S012,2762.3
S013-WAT-01,T004,S013,3088.0
S013-MED-01,T004,S013,3088.0
S013-FOD-01,T004,S013,3088.0
S001-WAT-02,T009,S001,3465.7
S001-WAT-03,T009,S001,3465.7
S001-FOD-01,T009,S001,3465.7
S010-WAT-01,T009,S010,4065.2
S014-WAT-01,T009,S014,4637.8
S014-MED-01,T009,S014,4637.8
S014-FOD-01,T009,S014,4637.8
S001-WAT-04,T010,S001,4228.7
S001-WAT-05,T010,S001,4228.7
S004-WAT-01,T010,S004,4988.6
S004-WAT-02,T010,S004,4988.6
S005-WAT-01,T010,S005,5517.1
S002-WAT-02,T005,S002,4542.7
S004-HYG-01,T005,S004,4951.2
S007-WAT-02,T006,S007,4796.3
S007-MED-01,T006,S007,4796.3
S003-WAT-02,T013,S003,6582.1
S003-WAT-03,T013,S003,6582.1
S001-WAT-08,T011,S001,6460.8
S001-HYG-02,T011,S001,6460.8
S001-WAT-01,T011,S001,6460.8
S001-HYG-01,T011,S001,6460.8
S008-WAT-01,T011,S008,7266.8
S008-FOD-01,T011,S008,7266.8
S008-HYG-01,T011,S008,7266.8
S003-WAT-04,T014,S003,6912.8
S003-MED-01,T014,S003,6912.8
S006-WAT-02,T012,S006,7186.0
S006-WAT-03,T012,S006,7186.0
S006-WAT-01,T012,S006,7186.0
S006-MED-01,T012,S006,7186.0
S001-FOD-03,T012,S001,7960.4
S001-MED-01,T012,S001,7960.4
S001-MED-02,T012,S001,7960.4
S004-WAT-03,T015,S004,8611.0
S004-FOD-01,T015,S004,8611.0
S004-MED-01,T015,S004,8611.0
S008-WAT-02,T016,S008,8866.0
S008-MED-01,T016,S008,8866.0
S011-WAT-01,T018,S011,9019.6
S011-MED-01,T018,S011,9019.6
S015-MED-01,T018,S015,9744.2
S015-FOD-01,T018,S015,9744.2
S015-WAT-01,T018,S015,9744.2
S003-WAT-01,T018,S003,10250.0
S003-HYG-01,T018,S003,10250.0
S007-HYG-01,T017,S007,10349.2
S007-FOD-01,T017,S007,10349.2
S003-FOD-01,T019,S003,10814.7
S003-FOD-02,T019,S003,10814.7
S005-FOD-01,T020,S005,12301.3
S005-WAT-02,T020,S005,12301.3
S005-MED-01,T020,S005,12301.3
S009-FOD-01,T021,S009,12631.2
S009-MED-01,T021,S009,12631.2
S009-WAT-01,T021,S009,12631.2
S011-FOD-01,T022,S011,13590.6
S005-HYG-01,T022,S005,14062.4
