电池编号,机型,架次,占用开始（s）,占用结束（s）,返航SOC（%）
B-B01,B,T001,0.0,2028.1,39.84
B-B02,B,T002,0.0,1491.0,61.34
C-B01,C,T007,0.0,3222.1,22.02
C-B02,C,T008,0.0,2363.1,24.02
B-B03,B,T003,1491.0,3413.8,31.19
B-B04,B,T004,2028.1,3532.9,54.44
C-B03,C,T009,2363.1,5322.3,27.42
C-B04,C,T010,3222.1,6020.1,21.31
B-B02,B,T005,3413.8,5630.6,26.33
B-B01,B,T006,3737.5,5299.9,60.14
B-B04,B,T013,5299.9,7308.3,26.72
C-B02,C,T011,5322.3,7963.7,20.68
B-B03,B,T014,5630.6,7639.0,37.7
C-B01,C,T012,6020.1,8270.6,46.43
B-B01,B,T015,7308.3,9290.3,28.22
B-B02,B,T016,7639.0,9532.5,33.39
C-B03,C,T018,7963.7,11033.1,23.15
B-B04,B,T017,9290.3,10852.7,61.3
B-B03,B,T019,9532.5,11540.9,38.34
B-B01,B,T020,11201.3,12775.9,50.67
B-B02,B,T021,11540.9,13098.3,47.61
B-B04,B,T022,12775.9,14537.0,56.18
