架次编号,需要起,需要止,在站起,在站止,时间重叠率
T001,420.0,2563.8,3409.818048782575,3409.818048782575,0.0
T002,510.0,2429.1,3920.6905352557283,3920.6905352557283,0.0
T003,360.0,2054.4,450.19458857659754,2054.393076275075,0.9468
T004,390.0,1778.5,2553.1408150880534,2553.1408150880534,0.0
T005,390.0,1861.1,3114.08734928851,3114.08734928851,0.0
T006,360.0,1713.5,452.7124023348766,1713.5162825382124,0.9315
T008,360.0,2334.9,2477.4818172519476,2477.4818172519476,0.0
T009,1671.1,3490.2,4500.329560901237,4500.329560901237,0.0
T010,2073.5,3876.3,4788.373516518799,4788.373516518799,0.0
T011,2168.5,3329.5,5304.804044848648,5304.804044848648,0.0
T013,2549.6,4352.4,5804.367362273402,5804.367362273402,0.0
T016,3122.3,5012.8,5812.06970260961,5812.06970260961,0.0
T017,3687.1,5322.1,6452.519547492214,6452.519547492214,0.0
T019,5388.2,7947.7,7297.160772419381,7947.680847248601,0.2542
T020,5374.3,6936.3,6881.074090512222,6936.314375029618,0.0354
T021,5609.5,8102.0,7893.980762790509,8102.048074390445,0.0835
T022,5712.1,7149.7,8646.192778907563,8646.192778907563,0.0
T023,7296.3,8433.7,8645.364246207366,8645.364246207366,0.0
T024,7509.7,9303.9,9278.14456592311,9303.869695948586,0.0143
T025,8427.7,10855.1,9403.363114185328,10855.125077627437,0.5981
