中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
RT01,R01,R-P01,0.0,109.227091,23.006658,444.7,268.4,5072.0,5140.1,0.3818
RT02,R02,R-P02,0.0,109.227091,23.006658,444.7,268.4,5474.1,5542.2,0.4834
RT03,R01,R-P03,5140.1,109.219286,23.006658,460.5,5467.1,7075.5,7204.8,0.5558
RT04,R02,R-P04,5542.2,109.266119,23.006658,519.6,6072.4,7683.3,8029.7,0.6745
RT05,R01,R-P05,7204.8,109.195869,23.021105,739.9,7778.4,9321.5,9720.8,0.6735
RT06,R02,R-P06,8029.7,109.227091,23.006658,444.7,8298.1,9625.0,9693.1,0.4345
RT07,R02,R-P01,9693.1,109.234897,23.064448,532.0,10377.7,11651.4,12146.2,0.6752
RT08,R01,R-P02,9720.8,109.195869,23.021105,739.9,10294.5,12187.1,12586.4,0.7803
RT09,R02,R-P03,12146.2,109.219286,23.035553,494.8,12612.7,14136.2,14406.6,0.6176
RT10,R01,R-P04,12586.4,109.203674,23.042777,780.6,13223.5,14356.2,14821.0,0.5869
RT11,R02,R-P06,14406.6,109.203674,23.021105,614.0,14895.9,16455.2,16758.4,0.6346
RT12,R01,R-P05,14821.0,109.242702,23.057224,548.6,15454.9,16278.3,16720.6,0.5067
RT13,R01,R-P01,16720.6,109.21148,23.021105,510.7,17145.1,18286.7,18518.8,0.4709
RT14,R02,R-P02,16758.4,109.219286,23.035553,494.8,17224.9,18423.4,18693.8,0.5182
RT15,R01,R-P03,18518.8,109.219286,23.035553,494.8,18985.3,20040.6,20311.0,0.4745
RT16,R02,R-P04,18693.8,109.234897,23.064448,532.0,19378.3,20813.3,21308.0,0.7245
RT17,R01,R-P05,20311.0,109.21148,23.021105,510.7,20735.6,22285.2,22517.3,0.5956
RT18,R02,R-P06,21308.0,109.219286,23.035553,494.8,21774.6,22781.4,23051.9,0.4597
RT19,R01,R-P01,22517.3,109.219286,23.035553,494.8,22983.8,24313.3,24583.7,0.5583
RT20,R02,R-P02,23051.9,109.21148,23.028329,555.2,23524.7,24389.6,24674.3,0.4137
RT21,R01,R-P03,24583.7,109.273925,23.035553,568.3,25220.4,27054.3,27504.6,0.8128
RT22,R02,R-P04,24674.3,109.219286,23.035553,494.8,25140.8,26209.5,26479.9,0.4786
RT23,R02,R-P05,26479.9,109.242702,23.006658,504.3,26816.2,26816.2,26957.3,0.0682
RT24,R02,R-P06,26957.3,109.242702,23.057224,548.6,27591.1,28780.8,29223.1,0.6187
RT25,R01,R-P01,27504.6,109.195869,23.021105,739.9,28078.3,29537.9,29937.3,0.648
RT26,R02,R-P02,29223.1,109.242702,23.006658,504.3,29559.4,30271.8,30412.8,0.2859
RT27,R01,R-P05,29937.3,109.266119,23.006658,519.6,30467.5,31339.0,31685.4,0.4485
RT28,R02,R-P04,30412.8,109.266119,23.021105,559.5,30944.9,32662.0,33005.4,0.7124
RT29,R01,R-P03,31685.4,109.203674,23.042777,780.6,32322.5,33651.2,34116.0,0.6468
RT30,R02,R-P06,33005.4,109.273925,23.035553,568.3,33642.1,35219.3,35669.7,0.7344
