架次编号,服务区,中断占比,悬停经度,悬停纬度,悬停海拔m,离地m,服务窗口起,服务窗口止,中断区间数,需保障时长s,说明
T001,S002->S012,0.5525,109.262217,23.05,506.9,250.0,756.7,2157.7,3,897.0,单点可覆盖全部中断样本
T002,S001->S002,0.4119,109.199772,23.057224,928.6,250.0,1249.5,2074.5,2,537.0,单点可覆盖全部中断样本
T003,S006->S007,0.183,109.172452,23.021105,674.0,250.0,1138.4,1574.6,3,236.3,单点可覆盖全部中断样本
T004,S001->S013,0.1492,109.21148,23.021105,510.7,250.0,1034.0,1408.0,3,138.1,单点可覆盖全部中断样本
T005,S014,0.3062,109.266119,22.999434,572.3,250.0,806.2,1414.3,2,368.0,单点可覆盖全部中断样本
T006,S007,0.191,109.172452,23.021105,674.0,250.0,814.8,1233.7,2,208.9,单点可覆盖全部中断样本
T008,S013->S012,0.4521,109.254411,23.042777,491.7,250.0,779.6,1890.7,10,705.1,单点可覆盖全部中断样本
T009,S004,0.257,109.188063,23.06806,962.2,250.0,2260.5,2882.8,6,396.3,单点可覆盖全部中断样本
T010,S008,0.425,109.188063,23.06806,962.2,250.0,2522.9,3410.9,6,662.0,单点可覆盖全部中断样本
T011,S010,0.197,109.234897,22.984986,619.1,250.0,2533.2,2944.3,2,171.1,单点可覆盖全部中断样本
T013,S008,0.425,109.188063,23.06806,962.2,250.0,2999.0,3887.0,6,662.0,单点可覆盖全部中断样本
T016,S003,0.4254,109.172452,23.017493,654.5,250.0,3593.8,4512.8,2,709.0,单点可覆盖全部中断样本
T017,S009->S002,0.4821,109.199772,23.057224,928.6,250.0,4006.8,4985.4,3,588.5,单点可覆盖全部中断样本
T019,S011->S015->S003,0.4143,109.172452,23.017493,654.5,250.0,6169.3,7471.7,4,720.5,单点可覆盖全部中断样本
T020,S004,0.2671,109.188063,23.06806,962.2,250.0,5863.3,6429.3,4,348.1,单点可覆盖全部中断样本
T021,S007->S003->S006,0.3998,109.172452,23.021105,674.0,250.0,6024.0,7248.9,3,684.9,单点可覆盖全部中断样本
T022,S001->S005,0.2407,109.188063,23.06806,962.2,250.0,6311.6,6768.3,2,246.7,单点可覆盖全部中断样本
T023,S009,0.3074,109.195869,23.039165,671.1,250.0,7616.1,8102.9,2,276.8,单点可覆盖全部中断样本
T024,S005->S008,0.4449,109.188063,23.06806,962.2,250.0,7877.9,8912.8,5,623.3,单点可覆盖全部中断样本
T025,S005->S004->S002,0.5623,109.223188,23.06806,507.2,250.0,8809.1,10500.5,5,927.5,单点可覆盖全部中断样本
