架次编号,机型,服务区,采样点数,直连点数,中继点数,中断点数,直连可达比例,中断占比,需中继
T001,C,S001,317,317,0,0,1.0,0.0,False
T002,C,S001,317,317,0,0,1.0,0.0,False
T003,C,S007,551,437,0,114,0.7931,0.2069,True
T004,C,S014,684,473,0,211,0.6915,0.3085,True
T005,C,S011->S015->S005,902,651,0,251,0.7217,0.2783,True
T006,C,S004->S008,868,467,0,401,0.538,0.462,True
T007,C,S005->S008,774,428,0,346,0.553,0.447,True
T008,C,S011->S007->S003->S006,943,597,0,346,0.6331,0.3669,True
T009,C,S001->S009->S005,710,418,0,292,0.5887,0.4113,True
T010,C,S004->S002,805,436,0,369,0.5416,0.4584,True
T011,C,S006->S007->S003,898,537,0,361,0.598,0.402,True
T012,C,S001->S002,670,394,0,276,0.5881,0.4119,True
T013,C,S013->S012,740,406,0,334,0.5486,0.4514,True
T014,C,S010->S013->S012->S009,927,385,0,542,0.4153,0.5847,True
T015,C,S001->S002,670,394,0,276,0.5881,0.4119,True
T016,C,S006->S003,885,541,0,344,0.6113,0.3887,True
