中继架次编号,运输架次编号,重叠起（s）,重叠止（s）,重叠时长（s）
R01-1,T01,1813.9,3364.9,1551.0
R01-1,T02,740.4,1813.9,1073.5
R01-1,T03,1490.7,3529.1,2038.4
R01-1,T04,740.4,1490.7,750.3
R01-1,T05,740.4,1688.7,948.3
R01-1,T06,740.4,1602.7,862.3
R01-1,T07,740.4,1861.1,1120.7
R01-1,T08,740.4,1316.9,576.5
R01-1,T09,1861.1,3783.9,1922.8
R01-1,T10,3453.6,4834.6,1381.0
R01-1,T11,740.4,2163.3,1422.9
R01-1,T12,1688.7,3122.4,1433.7
R01-1,T13,3783.9,5852.3,2068.4
R01-1,T14,5193.0,7350.0,2157.0
R01-1,T15,3529.1,5830.6,2301.5
R01-1,T16,6658.1,7350.0,691.9
R01-1,T17,3134.9,5193.0,2058.1
R01-1,T18,5911.5,7350.0,1438.5
R01-1,T19,4834.6,6658.1,1823.5
R01-1,T20,5852.3,7350.0,1497.7
R01-1,T21,1712.5,3365.0,1652.5
R01-1,T22,740.4,1712.5,972.2
R01-1,T23,1602.7,3315.2,1712.5
R02-1,T01,1813.9,3364.9,1551.0
R02-1,T02,653.2,1813.9,1160.7
R02-1,T03,1490.7,3400.0,1909.3
R02-1,T04,653.2,1490.7,837.5
R02-1,T05,653.2,1688.7,1035.5
R02-1,T06,653.2,1602.7,949.5
R02-1,T07,653.2,1861.1,1207.9
R02-1,T08,653.2,1316.9,663.7
R02-1,T09,1861.1,3400.0,1538.9
R02-1,T11,653.2,2163.3,1510.1
R02-1,T12,1688.7,3122.4,1433.7
R02-1,T17,3134.9,3400.0,265.1
R02-1,T21,1712.5,3365.0,1652.5
R02-1,T22,653.2,1712.5,1059.4
R02-1,T23,1602.7,3315.2,1712.5
R02-2,T13,4921.4,5852.3,930.9
R02-2,T14,5193.0,6900.0,1707.0
R02-2,T15,4921.4,5830.6,909.2
R02-2,T16,6658.1,6900.0,241.9
R02-2,T17,4921.4,5193.0,271.6
R02-2,T18,5911.5,6900.0,988.5
R02-2,T19,4921.4,6658.1,1736.7
R02-2,T20,5852.3,6900.0,1047.7
