类型,编号,机型/实体机,电池/组件,服务区,货箱数,起飞（s）,返回（s）,能耗（kWh）,返航SOC（%）
运输,T01,B/U06,BB03,S010,3,1813.9,3364.9,1.82113,54.47
运输,T02,B/U06,BB04,S002,3,0.0,1813.9,2.71227,32.19
运输,T03,C/U08,BC04,S002,5,1490.7,3529.1,5.71976,28.5
运输,T04,C/U08,BC03,S001,6,0.0,1490.7,2.99408,62.57
运输,T05,C/U07,BC02,S001,9,0.0,1688.7,2.91591,63.55
运输,T06,A/U04,BA06,S013,2,0.0,1602.7,1.95413,56.57
运输,T07,B/U05,BB01,S014,3,0.0,1861.1,2.13643,46.59
运输,T08,A/U03,BA05,S006,2,0.0,1316.9,1.31294,70.82
运输,T09,B/U05,BB02,S012,3,1861.1,3783.9,2.75233,31.19
运输,T10,B/U06,BB01,S013,1,3453.6,4834.6,1.51227,62.19
运输,T11,A/U02,BA04,S008,2,0.0,2163.3,3.19673,28.96
运输,T12,C/U07,BC01,S006,4,1688.7,3122.4,2.32941,70.88
运输,T13,B/U05,BB04,S003,3,3783.9,5852.3,2.77481,30.63
运输,T14,C/U07,BC01,S003,5,5193.0,7548.3,5.75831,28.02
运输,T15,C/U08,BC02,S004,6,3529.1,5830.6,6.15306,23.09
运输,T16,B/U06,BB01,S011,3,6658.1,7843.2,1.07259,73.19
运输,T17,C/U07,BC03,S008,3,3134.9,5193.0,5.3981,32.52
运输,T18,C/U08,BC04,S005,6,5911.5,7786.8,4.22136,47.23
运输,T19,B/U06,BB03,S015,3,4834.6,6658.1,2.30541,42.36
运输,T20,B/U05,BB02,S009,3,5852.3,7409.7,2.09576,47.61
运输,T21,A/U01,BA03,S007,1,1712.5,3365.0,1.86664,58.52
运输,T22,A/U01,BA02,S007,2,0.0,1712.5,1.9647,56.34
运输,T23,A/U04,BA01,S007,2,1602.7,3315.2,1.82174,59.52
中继,R01-1,R/R01,ER01,G2-3,0,0.0,7939.3,2.30841,27.86
中继,R02-1,R/R02,ER02,S010,0,0.0,3884.6,1.08728,66.02
中继,R02-2,R/R02,ER03,G4-4,0,4184.6,7463.1,0.91036,71.55
