中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
RT01,R01,R-P01,0.0,109.207577,23.021105,541.6,450.2,2054.4,2313.2,0.6278
RT02,R02,R-P02,0.0,109.215383,23.028329,562.1,452.7,1713.5,1977.0,0.5227
RT03,R02,R-P03,1977.0,109.262217,23.017493,572.1,2477.5,2477.5,2790.1,0.1669
RT04,R01,R-P04,2313.2,109.230994,23.010269,395.2,2553.1,2553.1,2588.7,0.0143
RT05,R01,R-P05,2588.7,109.266119,23.010269,559.0,3114.1,3114.1,3454.2,0.1805
RT06,R02,R-P06,2790.1,109.273925,23.031941,562.3,3409.8,3409.8,3842.4,0.2424
RT07,R01,R-P04,3454.2,109.219286,23.035553,494.8,3920.7,3920.7,4191.1,0.152
RT08,R02,R-P02,3842.4,109.234897,23.060836,552.3,4500.3,4500.3,4968.5,0.269
RT09,R01,R-P01,4191.1,109.203674,23.039165,705.6,4788.4,4788.4,5207.1,0.2206
RT10,R02,R-P03,4968.5,109.242702,23.006658,504.3,5304.8,5304.8,5445.8,0.0682
RT11,R01,R-P05,5207.1,109.203674,23.039165,705.6,5804.4,5804.4,6223.1,0.2206
RT12,R02,R-P06,5445.8,109.219286,23.017493,511.8,5812.1,5812.1,5986.0,0.0848
RT13,R02,R-P04,5986.0,109.219286,23.035553,494.8,6452.5,6452.5,6723.0,0.152
RT14,R01,R-P02,6223.1,109.234897,23.060836,552.3,6881.1,6936.3,7404.5,0.2859
RT15,R02,R-P03,6723.0,109.195869,23.021105,739.9,7297.2,7947.7,8347.8,0.401
RT16,R01,R-P01,7404.5,109.203674,23.021105,614.0,7894.0,8102.0,8405.5,0.2218
RT17,R02,R-P06,8347.8,109.2388,23.006658,440.6,8646.2,8646.2,8745.4,0.0473
RT18,R01,R-P05,8405.5,109.230994,23.010269,395.2,8645.4,8645.4,8680.9,0.0143
RT19,R01,R-P04,8680.9,109.203674,23.039165,705.6,9278.1,9303.9,9722.6,0.2285
RT20,R02,R-P02,8745.4,109.234897,23.060836,552.3,9403.4,10855.1,11323.3,0.7126
