架次编号,服务区编号,机型编号,货箱编号列表,货箱数,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-01,S001,C,S001-WAT-01|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,78.0,0.235,1626.2,2.99577,62.55
Q1-02,S001,C,S001-MED-01|S001-MED-02|S001-WAT-04|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-WAT-08,7,76.0,0.159,1560.2,2.91758,63.53
Q1-03,S002,C,S002-WAT-01|S002-WAT-02|S002-WAT-03|S002-FOD-01|S002-HYG-01,5,56.0,0.144,2045.9,5.7229,28.46
Q1-04,S002,B,S002-MED-01|S002-WAT-04|S002-FOD-02,3,25.0,0.067,1820.0,2.71475,32.13
Q1-05,S003,C,S003-WAT-01|S003-WAT-02|S003-WAT-03|S003-FOD-01|S003-HYG-01,5,56.0,0.144,2370.1,5.76497,27.94
Q1-06,S003,B,S003-MED-01|S003-WAT-04|S003-FOD-02,3,25.0,0.067,2080.5,2.77992,30.5
Q1-07,S004,C,S004-MED-01|S004-WAT-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01,6,59.0,0.156,2301.1,6.15293,23.09
Q1-08,S005,C,S005-MED-01|S005-WAT-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-HYG-01,6,59.0,0.156,1877.2,4.22219,47.22
Q1-09,S006,C,S006-MED-01|S006-WAT-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01,6,59.0,0.156,1565.7,2.59973,67.5
Q1-10,S007,C,S007-MED-01|S007-WAT-01|S007-WAT-02|S007-FOD-01|S007-HYG-01,5,45.0,0.129,1889.3,3.4038,57.45
Q1-11,S008,C,S008-MED-01|S008-WAT-01|S008-WAT-02|S008-FOD-01|S008-HYG-01,5,45.0,0.129,2190.1,5.83227,27.1
Q1-12,S009,B,S009-MED-01|S009-WAT-01|S009-FOD-01,3,25.0,0.067,1558.4,2.09623,47.59
Q1-13,S010,B,S010-MED-01|S010-WAT-01|S010-FOD-01,3,25.0,0.067,1555.4,1.8232,54.42
Q1-14,S011,B,S011-MED-01|S011-WAT-01|S011-FOD-01,3,25.0,0.067,1188.4,1.07395,73.15
Q1-15,S012,B,S012-MED-01|S012-WAT-01|S012-FOD-01,3,25.0,0.067,1943.0,2.7605,30.99
Q1-16,S013,B,S013-MED-01|S013-WAT-01|S013-FOD-01,3,25.0,0.067,1501.0,1.82099,54.48
Q1-17,S014,B,S014-MED-01|S014-WAT-01|S014-FOD-01,3,25.0,0.067,1845.7,2.13077,46.73
Q1-18,S015,B,S015-MED-01|S015-WAT-01|S015-FOD-01,3,25.0,0.067,1828.3,2.30745,42.31
