架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T01,U06,B,BB01,0.0,S010,1555.4,1.8232
T02,U05,B,BB04,0.1,S002,1820.1,2.71475
T03,U08,C,BC04,0.0,S001,1560.2,2.91758
T04,U08,C,BC03,1560.2,S001,3186.4,2.99577
T05,U04,A,BA06,0.0,S013,1602.7,1.95413
T06,U06,B,BB03,1555.4,S014,3401.1,2.13077
T07,U03,A,BA05,0.0,S006,1316.9,1.31294
T08,U07,C,BC02,1433.7,S002,3479.6,5.7229
T09,U05,B,BB02,1820.1,S012,3763.1,2.7605
T10,U06,B,BB01,3401.1,S013,4782.1,1.51227
T11,U02,A,BA04,1652.5,S008,3815.8,3.19673
T12,U07,C,BC01,0.0,S006,1433.7,2.32941
T13,U05,B,BB02,5634.5,S003,7715.0,2.77992
T14,U07,C,BC04,3479.6,S004,5780.7,6.15293
T15,U08,C,BC03,5244.5,S003,7614.6,5.76497
T16,U06,B,BB01,6549.5,S011,7737.9,1.07395
T17,U08,C,BC01,3186.4,S008,5244.5,5.3981
T18,U07,C,BC02,5862.9,S005,7740.1,4.22219
T19,U05,B,BB04,3806.1,S015,5634.4,2.30745
T20,U06,B,BB03,4991.1,S009,6549.5,2.09623
T21,U02,A,BA03,0.0,S007,1652.5,1.86664
T22,U01,A,BA02,0.0,S007,1712.5,1.9647
T23,U01,A,BA01,1712.5,S007,3425.0,1.82174
