架次编号,机型,服务区,采样点数,直连点数,中继点数,中断点数,直连可达比例,中断占比,直连最小裕量（dB）,中继最小裕量（dB）,保障来源切换,首个中断时刻（s）,末个中断时刻（s）,需中继,航段长
T10,B,S013,3509,2894,0,615,0.8247,0.175264,-1.78,,否,4136.06,4468.08,是,1
T18,C,S005,4009,3129,734,146,0.7805,0.036418,-2.51,7.77,是,7350.17,7386.39,是,1
T15,C,S004,5714,4176,1509,29,0.7308,0.005075,-5.81,2.64,是,4710.09,4716.83,是,1
T04,C,S001,2470,2470,0,0,1.0,0.0,2.24,,否,,,否,1
T01,B,S010,3695,3004,691,0,0.813,0.0,-1.67,17.28,否,,,是,1
T02,B,S002,4747,2639,2108,0,0.5559,0.0,-5.45,0.44,是,,,是,1
T03,C,S002,4925,2758,2167,0,0.56,0.0,-5.45,0.44,是,,,是,1
T07,B,S014,4935,3446,1489,0,0.6983,0.0,-2.76,0.96,否,,,是,1
T06,A,S013,4157,3422,735,0,0.8232,0.0,-1.78,12.34,否,,,是,1
T05,C,S001,2470,2470,0,0,1.0,0.0,2.24,,否,,,否,1
T09,B,S012,5182,2947,2235,0,0.5687,0.0,-5.43,0.56,是,,,是,1
T11,A,S008,6384,3690,2694,0,0.578,0.0,-6.2,5.29,否,,,是,1
T12,C,S006,2741,2741,0,0,1.0,0.0,1.86,,否,,,否,1
T13,B,S003,5764,3352,2412,0,0.5815,0.0,-5.29,4.15,否,,,是,1
T08,A,S006,2974,2974,0,0,1.0,0.0,1.86,,否,,,否,1
T14,C,S003,6192,3636,2556,0,0.5872,0.0,-5.29,4.15,否,,,是,1
T16,B,S011,2231,2231,0,0,1.0,0.0,2.97,,否,,,否,1
T17,C,S008,5530,3254,2276,0,0.5884,0.0,-6.2,5.29,否,,,是,1
T19,B,S015,4785,3396,1389,0,0.7097,0.0,-3.65,11.61,否,,,是,1
T20,B,S009,3720,2596,1124,0,0.6978,0.0,-3.18,1.78,是,,,是,1
T21,A,S007,4585,3732,853,0,0.814,0.0,-1.21,7.3,否,,,是,1
T22,A,S007,4585,3732,853,0,0.814,0.0,-1.21,7.3,否,,,是,1
T23,A,S007,4585,3732,853,0,0.814,0.0,-1.21,7.3,否,,,是,1
