中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
RT01,R01,R-P01,0.0,109.215383,23.028329,562.1,452.7,3051.2,3314.7,0.5446
RT02,R02,R-P02,0.0,109.266119,23.010269,559.0,525.4,3515.3,3855.4,0.68
RT03,R01,R-P03,3314.7,109.207577,23.028329,599.6,3812.0,5972.6,6283.7,0.8236
RT04,R02,R-P04,3855.4,109.242702,23.060836,555.5,4527.0,6136.3,6620.2,0.7677
RT05,R01,R-P05,6283.7,109.203674,23.039165,705.6,6880.9,8540.3,8959.0,0.7277
RT06,R02,R-P06,6620.2,109.203674,23.021105,614.0,7109.6,9508.2,9811.6,0.8911
RT07,R01,R-P01,8959.0,109.2388,23.006658,440.6,9257.4,11081.8,11181.0,0.6047
RT08,R02,R-P02,9811.6,109.234897,23.060836,552.3,10469.5,12071.9,12540.1,0.7586
RT09,R01,R-P03,11181.0,109.207577,23.021105,541.6,11631.2,14078.3,14337.2,0.8854
RT10,R02,R-P04,12540.1,109.219286,23.035553,494.8,13006.6,14435.0,14705.5,0.5885
RT11,R01,R-P05,14337.2,109.262217,23.017493,572.1,14837.7,16380.8,16693.4,0.6384
RT12,R02,R-P06,14705.5,109.273925,23.039165,597.1,15354.1,17888.9,18350.0,1.0357
RT13,R01,R-P01,16693.4,109.219286,23.035553,494.8,17159.9,18934.8,19205.2,0.6944
RT14,R02,R-P02,18350.0,109.203674,23.017493,653.1,18838.6,20610.4,20916.1,0.6963
