架次编号,服务区,中断占比,悬停经度,悬停纬度,悬停海拔m,离地m,保障能耗kWh,服务窗口起,服务窗口止,说明
T001,S014,0.3085,109.266119,23.010269,559.0,250.0,0.6386,390.0,2024.7,单点全程覆盖
T002,S001->S009,0.2801,109.230994,23.010269,395.2,250.0,0.5203,510.0,2165.9,单点全程覆盖
T003,S007->S015,0.3726,109.207577,23.021105,541.6,250.0,0.7554,2534.7,4556.5,单点全程覆盖
T004,S001->S002,0.4119,109.219286,23.035553,494.8,250.0,0.7114,2615.9,4463.0,单点全程覆盖
T005,S003,0.4153,109.219286,23.017493,511.8,250.0,0.667,4913.0,6818.3,单点全程覆盖
T006,S011->S005->S008,0.411,109.203674,23.039165,705.6,250.0,0.9124,5036.5,7417.6,单点全程覆盖
T007,S006->S003->S015->S011,0.3885,109.195869,23.021105,739.9,250.0,1.0765,7328.3,10253.9,单点全程覆盖
T008,S005->S004->S008,0.5586,109.242702,23.060836,555.5,250.0,0.9565,7837.6,10316.3,单点全程覆盖
T009,S001->S004,0.2839,109.234897,23.060836,552.3,250.0,0.8784,10763.9,12906.1,单点全程覆盖
T010,S002,0.4416,109.219286,23.035553,494.8,250.0,0.6323,10766.3,12354.7,单点全程覆盖
T011,S009->S012,0.5007,109.258314,23.046389,547.8,250.0,0.7776,13214.5,15173.0,单点全程覆盖
T012,S011->S008->S004->S005,0.4813,109.242702,23.060836,555.5,250.0,1.0666,13356.1,16165.3,单点全程覆盖
T013,S001->S010,0.1794,109.242702,23.006658,504.3,250.0,0.6304,15713.0,17553.0,单点全程覆盖
T014,S006->S013,0.1206,109.230994,23.010269,395.2,250.0,0.6214,16675.3,18662.2,单点全程覆盖
